# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 10.3126 1.9352e-1 3.4256e-1 -9.9997e-1
26.00 8.1651 3.4030e-2 2.1397e0 -9.9972e-1
27.00 6.4008 4.3679e-1 1.6934e0 -9.9834e-1
28.00 5.3653 7.4056e-2 3.7205e0 -9.9532e-1
29.00 4.8027 6.2223e-1 3.0873e0 -9.9179e-1
30.00 4.3958 9.9222e-1 2.8599e0 -9.8767e-1
31.00 4.0286 1.1467e0 3.1498e0 -9.8220e-1
32.00 3.8280 1.4858e0 2.6407e0 -9.7825e-1
33.00 3.6410 1.6642e0 2.4966e0 -9.7377e-1
34.00 3.4658 1.7356e0 2.5527e0 -9.6875e-1
35.00 3.3352 1.8738e0 2.2107e0 -9.6439e-1
36.00 3.1827 1.9061e0 2.2131e0 -9.5852e-1
37.00 3.0713 2.0175e0 1.9157e0 -9.5364e-1
38.00 2.9676 2.1204e0 1.6159e0 -9.4857e-1
39.00 2.8889 2.2216e0 1.3483e0 -9.4436e-1
40.00 2.8226 2.3168e0 1.0433e0 -9.4055e-1
41.00 2.7531 2.3572e0 8.8179e-1 -9.3627e-1
42.00 2.6873 2.3994e0 6.1430e-1 -9.3193e-1
43.00 2.6005 2.3736e0 5.0180e-1 -9.2576e-1
44.00 2.5066 2.3323e0 3.7812e-1 -9.1846e-1
45.00 2.4124 2.2855e0 2.5862e-1 -9.1040e-1
46.00 2.3148 2.2176e0 1.9181e-1 -9.0122e-1
47.00 2.2179 2.1436e0 1.3963e-1 -8.9117e-1
48.00 2.1204 2.0598e0 1.1116e-1 -8.8001e-1
49.00 2.0233 1.9712e0 9.5452e-2 -8.6778e-1
50.00 1.9278 1.8817e0 8.4595e-2 -8.5454e-1
51.00 1.8353 1.7942e0 7.5770e-2 -8.4044e-1
52.00 1.7464 1.7097e0 6.8029e-2 -8.2560e-1
53.00 1.6615 1.6286e0 6.1113e-2 -8.1015e-1
54.00 1.5807 1.5513e0 5.4898e-2 -7.9417e-1
55.00 1.5040 1.4777e0 4.9312e-2 -7.7775e-1
56.00 1.4311 1.4076e0 4.4294e-2 -7.6096e-1
57.00 1.3620 1.3410e0 3.9792e-2 -7.4386e-1
58.00 1.2966 1.2777e0 3.5755e-2 -7.2653e-1
59.00 1.2345 1.2176e0 3.2136e-2 -7.0901e-1
60.00 1.1756 1.1605e0 2.8894e-2 -6.9137e-1
61.00 1.1198 1.1062e0 2.5989e-2 -6.7365e-1
62.00 1.0668 1.0546e0 2.3385e-2 -6.5590e-1
63.00 1.0166 1.0056e0 2.1051e-2 -6.3817e-1
64.00 0.9689 9.5908e-1 1.8958e-2 -6.2050e-1
65.00 0.9236 9.1482e-1 1.7081e-2 -6.0293e-1
66.00 0.8807 8.7273e-1 1.5397e-2 -5.8550e-1
67.00 0.8399 8.3272e-1 1.3886e-2 -5.6823e-1
68.00 0.8011 7.9466e-1 1.2528e-2 -5.5116e-1
69.00 0.7643 7.5846e-1 1.1308e-2 -5.3432e-1
70.00 0.7292 7.2401e-1 1.0212e-2 -5.1773e-1
71.00 0.6960 6.9124e-1 9.2255e-3 -5.0140e-1
72.00 0.6643 6.6005e-1 8.3384e-3 -4.8537e-1
73.00 0.6342 6.3035e-1 7.5398e-3 -4.6964e-1
74.00 0.6056 6.0208e-1 6.8207e-3 -4.5423e-1
75.00 0.5783 5.7516e-1 6.1728e-3 -4.3915e-1
76.00 0.5524 5.4952e-1 5.5888e-3 -4.2441e-1
77.00 0.5277 5.2510e-1 5.0622e-3 -4.1002e-1
78.00 0.5042 5.0183e-1 4.5871e-3 -3.9599e-1
79.00 0.4818 4.7966e-1 4.1582e-3 -3.8231e-1
80.00 0.4604 4.5852e-1 3.7710e-3 -3.6899e-1
81.00 0.4401 4.3838e-1 3.4211e-3 -3.5603e-1
82.00 0.4207 4.1917e-1 3.1050e-3 -3.4344e-1
83.00 0.4023 4.0085e-1 2.8191e-3 -3.3121e-1
84.00 0.3847 3.8338e-1 2.5604e-3 -3.1933e-1
85.00 0.3679 3.6672e-1 2.3264e-3 -3.0781e-1
86.00 0.3519 3.5083e-1 2.1145e-3 -2.9664e-1
87.00 0.3366 3.3566e-1 1.9226e-3 -2.8583e-1
88.00 0.3221 3.2118e-1 1.7487e-3 -2.7535e-1
89.00 0.3082 3.0737e-1 1.5911e-3 -2.6521e-1
90.00 0.2949 2.9418e-1 1.4482e-3 -2.5540e-1
91.00 0.2822 2.8159e-1 1.3186e-3 -2.4591e-1
92.00 0.2702 2.6956e-1 1.2009e-3 -2.3675e-1
93.00 0.2586 2.5808e-1 1.0941e-3 -2.2789e-1
94.00 0.2476 2.4711e-1 9.9710e-4 -2.1934e-1
95.00 0.2371 2.3663e-1 9.0899e-4 -2.1108e-1
96.00 0.2270 2.2662e-1 8.2890e-4 -2.0311e-1
97.00 0.2174 2.1705e-1 7.5610e-4 -1.9542e-1
98.00 0.2083 2.0791e-1 6.8989e-4 -1.8800e-1
99.00 0.1995 1.9917e-1 6.2966e-4 -1.8085e-1
