# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 8.3756 -1.7491e0 3.5877e-1 -9.9977e-1
26.00 6.3185 -1.7982e0 2.1667e0 -9.9820e-1
27.00 4.6262 -1.3173e0 1.7180e0 -9.9021e-1
28.00 3.6407 -1.6356e0 3.8093e0 -9.7377e-1
29.00 3.1365 -9.9608e-1 3.0260e0 -9.5656e-1
30.00 2.7843 -5.5640e-1 2.7612e0 -9.3823e-1
31.00 2.4548 -3.6407e-1 3.0239e0 -9.1412e-1
32.00 2.2976 1.4140e-2 2.5431e0 -8.9950e-1
33.00 2.1532 2.2957e-1 2.4312e0 -8.8388e-1
34.00 2.0284 3.7001e-1 2.3950e0 -8.6845e-1
35.00 1.9409 5.4584e-1 2.0944e0 -8.5643e-1
36.00 1.8351 6.3005e-1 2.0697e0 -8.4040e-1
37.00 1.7670 7.8275e-1 1.7774e0 -8.2915e-1
38.00 1.7021 9.1663e-1 1.5043e0 -8.1771e-1
39.00 1.6615 1.0521e0 1.2409e0 -8.1014e-1
40.00 1.6318 1.1785e0 9.4494e-1 -8.0441e-1
41.00 1.6001 1.2576e0 7.6464e-1 -7.9811e-1
42.00 1.5697 1.3291e0 5.1805e-1 -7.9190e-1
43.00 1.5190 1.3371e0 4.0634e-1 -7.8106e-1
44.00 1.4596 1.3258e0 2.9578e-1 -7.6767e-1
45.00 1.3987 1.3078e0 1.8903e-1 -7.5308e-1
46.00 1.3337 1.2687e0 1.3158e-1 -7.3650e-1
47.00 1.2686 1.2231e0 8.7498e-2 -7.1879e-1
48.00 1.2023 1.1678e0 6.4474e-2 -6.9949e-1
49.00 1.1358 1.1075e0 5.2691e-2 -6.7883e-1
50.00 1.0701 1.0459e0 4.5222e-2 -6.5703e-1
51.00 1.0066 9.8551e-1 3.9495e-2 -6.3453e-1
52.00 0.9458 9.2742e-1 3.4616e-2 -6.1164e-1
53.00 0.8883 8.7218e-1 3.0350e-2 -5.8863e-1
54.00 0.8340 8.1993e-1 2.6592e-2 -5.6568e-1
55.00 0.7829 7.7070e-1 2.3282e-2 -5.4294e-1
56.00 0.7351 7.2438e-1 2.0375e-2 -5.2052e-1
57.00 0.6902 6.8087e-1 1.7826e-2 -4.9851e-1
58.00 0.6481 6.4001e-1 1.5596e-2 -4.7698e-1
59.00 0.6087 6.0166e-1 1.3647e-2 -4.5597e-1
60.00 0.5719 5.6569e-1 1.1944e-2 -4.3553e-1
61.00 0.5373 5.3193e-1 1.0457e-2 -4.1569e-1
62.00 0.5050 5.0025e-1 9.1588e-3 -3.9648e-1
63.00 0.4747 4.7053e-1 8.0251e-3 -3.7790e-1
64.00 0.4463 4.4265e-1 7.0348e-3 -3.5998e-1
65.00 0.4196 4.1647e-1 6.1696e-3 -3.4271e-1
66.00 0.3947 3.9191e-1 5.4133e-3 -3.2610e-1
67.00 0.3713 3.6884e-1 4.7520e-3 -3.1014e-1
68.00 0.3493 3.4719e-1 4.1734e-3 -2.9483e-1
69.00 0.3287 3.2686e-1 3.6670e-3 -2.8016e-1
70.00 0.3094 3.0776e-1 3.2235e-3 -2.6611e-1
71.00 0.2913 2.8982e-1 2.8350e-3 -2.5268e-1
72.00 0.2742 2.7297e-1 2.4944e-3 -2.3984e-1
73.00 0.2582 2.5713e-1 2.1957e-3 -2.2759e-1
74.00 0.2432 2.4225e-1 1.9337e-3 -2.1591e-1
75.00 0.2291 2.2826e-1 1.7037e-3 -2.0477e-1
76.00 0.2159 2.1511e-1 1.5017e-3 -1.9416e-1
77.00 0.2034 2.0275e-1 1.3242e-3 -1.8406e-1
78.00 0.1917 1.9112e-1 1.1681e-3 -1.7445e-1
79.00 0.1807 1.8018e-1 1.0309e-3 -1.6531e-1
80.00 0.1704 1.6989e-1 9.1021e-4 -1.5663e-1
81.00 0.1606 1.6021e-1 8.0395e-4 -1.4838e-1
82.00 0.1515 1.5110e-1 7.1037e-4 -1.4055e-1
83.00 0.1428 1.4253e-1 6.2793e-4 -1.3311e-1
84.00 0.1347 1.3446e-1 5.5527e-4 -1.2606e-1
85.00 0.1271 1.2686e-1 4.9119e-4 -1.1936e-1
86.00 0.1199 1.1971e-1 4.3467e-4 -1.1302e-1
87.00 0.1132 1.1297e-1 3.8479e-4 -1.0700e-1
88.00 0.1068 1.0663e-1 3.4076e-4 -1.0129e-1
89.00 0.1008 1.0065e-1 3.0187e-4 -9.5888e-2
90.00 0.0952 9.5019e-2 2.6751e-4 -9.0766e-2
91.00 0.0898 8.9713e-2 2.3714e-4 -8.5915e-2
92.00 0.0848 8.4712e-2 2.1028e-4 -8.1320e-2
93.00 0.0801 7.9999e-2 1.8653e-4 -7.6969e-2
94.00 0.0756 7.5556e-2 1.6551e-4 -7.2849e-2
95.00 0.0714 7.1367e-2 1.4690e-4 -6.8948e-2
96.00 0.0675 6.7417e-2 1.3043e-4 -6.5256e-2
97.00 0.0638 6.3692e-2 1.1584e-4 -6.1761e-2
98.00 0.0602 6.0179e-2 1.0291e-4 -5.8453e-2
99.00 0.0569 5.6866e-2 9.1447e-5 -5.5322e-2
