# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.9520 -8.4371e0 7.4916e-1 -9.4777e-1
33.00 1.2084 -7.9836e0 2.4701e0 -7.0132e-1
34.00 -1.2294 -1.0772e1 4.2351e0 2.4193e0
35.00 -1.3085 -1.0665e1 7.9763e0 2.7005e0
36.00 -0.8191 -6.9295e0 3.4764e0 1.2684e0
37.00 -0.9521 -6.2964e0 3.9925e0 1.5911e0
38.00 -1.1820 -5.8628e0 4.3538e0 2.2608e0
39.00 -1.3741 -5.8580e0 7.6436e0 2.9517e0
40.00 -1.3116 -4.5875e0 4.2553e0 2.7121e0
41.00 -1.4027 -4.1244e0 3.9046e0 3.0661e0
42.00 -1.3379 -3.4609e0 3.2773e0 2.8110e0
43.00 -1.2386 -2.8839e0 2.8080e0 2.4507e0
44.00 -1.1110 -2.4836e0 2.9483e0 2.0373e0
45.00 -0.9080 -1.9665e0 2.5360e0 1.4795e0
46.00 -0.6771 -1.4360e0 1.9849e0 9.6813e-1
47.00 -0.4649 -9.8482e-1 1.4294e0 5.9184e-1
48.00 -0.3027 -6.6732e-1 1.0337e0 3.5344e-1
49.00 -0.1679 -3.9857e-1 6.1587e-1 1.8286e-1
50.00 -0.0710 -2.1774e-1 3.5968e-1 7.3550e-2
51.00 -0.0069 -1.0619e-1 2.2488e-1 6.9356e-3
52.00 0.0326 -3.9835e-2 1.5606e-1 -3.2106e-2
53.00 0.0563 1.3023e-3 1.1371e-1 -5.4766e-2
54.00 0.0697 2.6735e-2 8.5813e-2 -6.7356e-2
55.00 0.0761 4.1609e-2 6.7512e-2 -7.3321e-2
56.00 0.0782 5.0076e-2 5.4350e-2 -7.5237e-2
57.00 0.0776 5.4503e-2 4.4421e-2 -7.4708e-2
58.00 0.0755 5.6393e-2 3.6628e-2 -7.2746e-2
59.00 0.0725 5.6654e-2 3.0370e-2 -6.9960e-2
