# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.6451 -8.8959e0 8.0151e-1 -9.2900e-1
33.00 1.0154 -8.6652e0 3.2419e0 -6.3775e-1
34.00 -1.2597 -1.1249e1 4.8497e0 2.5244e0
35.00 -1.4517 -1.1228e1 7.4799e0 3.2703e0
36.00 -0.7860 -7.0565e0 3.4072e0 1.1947e0
37.00 -0.9327 -6.4978e0 4.1798e0 1.5413e0
38.00 -1.2655 -6.3804e0 5.1190e0 2.5448e0
39.00 -1.4122 -6.0750e0 6.8592e0 3.1051e0
40.00 -1.3757 -5.0295e0 4.9382e0 2.9580e0
41.00 -1.4831 -4.6053e0 4.6823e0 3.4066e0
42.00 -1.4133 -3.9293e0 4.0675e0 3.1097e0
43.00 -1.2934 -3.2985e0 3.5321e0 2.6453e0
44.00 -1.1625 -2.9272e0 3.8809e0 2.1980e0
45.00 -0.9387 -2.3825e0 3.5546e0 1.5567e0
46.00 -0.6775 -1.7876e0 3.0195e0 9.6892e-1
47.00 -0.4356 -1.2531e0 2.3308e0 5.4588e-1
48.00 -0.2513 -8.6805e-1 1.7871e0 2.8570e-1
49.00 -0.0908 -5.1039e-1 1.1245e0 9.5095e-2
50.00 0.0249 -2.6612e-1 7.0327e-1 -2.4609e-2
51.00 0.1017 -1.1271e-1 4.7289e-1 -9.6688e-2
52.00 0.1497 -1.8644e-2 3.5063e-1 -1.3902e-1
53.00 0.1792 4.2664e-2 2.7232e-1 -1.6403e-1
54.00 0.1964 8.3209e-2 2.1847e-1 -1.7832e-1
55.00 0.2050 1.0905e-1 1.8156e-1 -1.8532e-1
56.00 0.2079 1.2569e-1 1.5392e-1 -1.8774e-1
57.00 0.2073 1.3620e-1 1.3226e-1 -1.8722e-1
58.00 0.2044 1.4257e-1 1.1463e-1 -1.8484e-1
59.00 0.2000 1.4604e-1 9.9922e-2 -1.8124e-1
