# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.2458 -8.0121e0 6.0712e-1 -9.6106e-1
33.00 1.4193 -7.4348e0 1.6955e0 -7.5811e-1
34.00 -1.1724 -1.0441e1 3.5541e0 2.2297e0
35.00 -1.1008 -1.0015e1 7.9773e0 2.0066e0
36.00 -0.7716 -6.7790e0 3.5006e0 1.1632e0
37.00 -0.8759 -6.0310e0 3.6932e0 1.4011e0
38.00 -1.0432 -5.3975e0 3.6013e0 1.8383e0
39.00 -1.2616 -5.5577e0 7.8451e0 2.5310e0
40.00 -1.1909 -4.1637e0 3.4744e0 2.2899e0
41.00 -1.2723 -3.6818e0 3.1286e0 2.5691e0
42.00 -1.2168 -3.0416e0 2.5128e0 2.3765e0
43.00 -1.1381 -2.5182e0 2.1234e0 2.1210e0
44.00 -1.0140 -2.0899e0 2.0408e0 1.7565e0
45.00 -0.8310 -1.6129e0 1.6460e0 1.2956e0
46.00 -0.6274 -1.1530e0 1.1941e0 8.7281e-1
47.00 -0.4404 -7.7562e-1 8.0239e-1 5.5332e-1
48.00 -0.2957 -5.1188e-1 5.4318e-1 3.4402e-1
49.00 -0.1799 -3.0744e-1 3.1202e-1 1.9716e-1
50.00 -0.0962 -1.6984e-1 1.7085e-1 1.0097e-1
51.00 -0.0406 -8.5277e-2 9.8488e-2 4.1417e-2
52.00 -0.0064 -3.6000e-2 6.3324e-2 6.3709e-3
53.00 0.0139 -6.8214e-3 4.2975e-2 -1.3784e-2
54.00 0.0252 1.0081e-2 3.0367e-2 -2.4870e-2
55.00 0.0306 1.9165e-2 2.2569e-2 -3.0158e-2
56.00 0.0325 2.3646e-2 1.7246e-2 -3.1976e-2
57.00 0.0323 2.5401e-2 1.3405e-2 -3.1798e-2
58.00 0.0310 2.5584e-2 1.0509e-2 -3.0536e-2
59.00 0.0291 2.4870e-2 8.2758e-3 -2.8722e-2
