# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.7067 -8.7979e0 8.0124e-1 -9.3324e-1
33.00 1.0474 -8.5050e0 3.0866e0 -6.4915e-1
34.00 -1.2681 -1.1140e1 4.7482e0 2.5540e0
35.00 -1.4374 -1.1120e1 7.6410e0 3.2096e0
36.00 -0.8127 -7.0364e0 3.4227e0 1.2539e0
37.00 -0.9578 -6.4655e0 4.1470e0 1.6060e0
38.00 -1.2613 -6.2620e0 4.9514e0 2.5299e0
39.00 -1.4203 -6.0366e0 7.0784e0 3.1383e0
40.00 -1.3774 -4.9375e0 4.8108e0 2.9645e0
41.00 -1.4806 -4.5028e0 4.5204e0 3.3954e0
42.00 -1.4110 -3.8270e0 3.8966e0 3.1001e0
43.00 -1.2955 -3.2077e0 3.3736e0 2.6529e0
44.00 -1.1657 -2.8315e0 3.6852e0 2.2081e0
45.00 -0.9469 -2.2919e0 3.3286e0 1.5776e0
46.00 -0.6927 -1.7101e0 2.7742e0 9.9919e-1
47.00 -0.4580 -1.1945e0 2.1070e0 5.8086e-1
48.00 -0.2790 -8.2552e-1 1.5936e0 3.2187e-1
49.00 -0.1250 -4.8985e-1 9.8739e-1 1.3317e-1
50.00 -0.0141 -2.6184e-1 6.0645e-1 1.4171e-2
51.00 0.0594 -1.1947e-1 4.0031e-1 -5.7654e-2
52.00 0.1052 -3.2848e-2 2.9188e-1 -9.9813e-2
53.00 0.1331 2.2974e-2 2.2301e-1 -1.2463e-1
54.00 0.1493 5.9344e-2 1.7610e-1 -1.3873e-1
55.00 0.1573 8.2102e-2 1.4429e-1 -1.4559e-1
56.00 0.1601 9.6396e-2 1.2069e-1 -1.4793e-1
57.00 0.1595 1.0512e-1 1.0238e-1 -1.4743e-1
58.00 0.1568 1.1014e-1 8.7613e-2 -1.4514e-1
59.00 0.1528 1.1261e-1 7.5415e-2 -1.4173e-1
