# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.8369 -8.6044e0 7.8183e-1 -9.4139e-1
33.00 1.1300 -8.2166e0 2.7650e0 -6.7697e-1
34.00 -1.2526 -1.0935e1 4.4936e0 2.4994e0
35.00 -1.3763 -1.0886e1 7.8587e0 2.9602e0
36.00 -0.8251 -6.9817e0 3.4520e0 1.2821e0
37.00 -0.9650 -6.3810e0 4.0718e0 1.6248e0
38.00 -1.2252 -6.0442e0 4.6327e0 2.4049e0
39.00 -1.4034 -5.9463e0 7.4159e0 3.0692e0
40.00 -1.3492 -4.7510e0 4.5281e0 2.8544e0
41.00 -1.4454 -4.2996e0 4.1965e0 3.2437e0
42.00 -1.3779 -3.6291e0 3.5676e0 2.9668e0
43.00 -1.2711 -3.0322e0 3.0716e0 2.5646e0
44.00 -1.1425 -2.6437e0 3.2959e0 2.1347e0
45.00 -0.9323 -2.1151e0 2.9006e0 1.5405e0
46.00 -0.6908 -1.5598e0 2.3365e0 9.9540e-1
47.00 -0.4685 -1.0792e0 1.7242e0 5.9763e-1
48.00 -0.2989 -7.3864e-1 1.2731e0 3.4835e-1
49.00 -0.1557 -4.4065e-1 7.7091e-1 1.6852e-1
50.00 -0.0527 -2.3953e-1 4.6029e-1 5.4159e-2
51.00 0.0153 -1.1493e-1 2.9492e-1 -1.5204e-2
52.00 0.0575 -4.0087e-2 2.0930e-1 -5.5874e-2
53.00 0.0830 7.1542e-3 1.5580e-1 -7.9628e-2
54.00 0.0976 3.7087e-2 1.1999e-1 -9.2953e-2
55.00 0.1046 5.5161e-2 9.6122e-2 -9.9338e-2
56.00 0.1070 6.5959e-2 7.8716e-2 -1.0144e-1
57.00 0.1064 7.2073e-2 6.5414e-2 -1.0091e-1
58.00 0.1040 7.5165e-2 5.4844e-2 -9.8784e-2
59.00 0.1006 7.6249e-2 4.6248e-2 -9.5702e-2
