# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.7403 -8.4213e0 1.9180e0 -9.3545e-1
33.00 1.1931 -8.9562e0 3.9328e0 -6.9671e-1
34.00 -0.4792 -1.1426e1 1.0192e1 6.1482e-1
35.00 -0.2711 -8.1463e0 7.1604e0 3.1136e-1
36.00 -0.3569 -6.4550e0 3.7890e0 4.2886e-1
37.00 -0.5179 -5.6221e0 3.5411e0 6.7845e-1
38.00 -0.6803 -4.9545e0 3.2971e0 9.7443e-1
39.00 -0.8787 -4.5254e0 3.6313e0 1.4078e0
40.00 -1.0323 -4.1414e0 3.9420e0 1.8076e0
41.00 -1.1136 -3.6763e0 3.7327e0 2.0454e0
42.00 -1.1275 -3.1425e0 3.0856e0 2.0878e0
43.00 -1.0557 -2.6093e0 2.6247e0 1.8739e0
44.00 -0.9051 -2.0734e0 2.2317e0 1.4721e0
45.00 -0.7252 -1.6028e0 1.9191e0 1.0652e0
46.00 -0.5437 -1.1963e0 1.5922e0 7.2241e-1
47.00 -0.3719 -8.2629e-1 1.1490e0 4.5049e-1
48.00 -0.2284 -5.3205e-1 7.6915e-1 2.5660e-1
49.00 -0.1164 -3.1593e-1 4.8795e-1 1.2349e-1
50.00 -0.0358 -1.6928e-1 3.0964e-1 3.6454e-2
51.00 0.0177 -7.6025e-2 2.0646e-1 -1.7536e-2
52.00 0.0502 -1.9290e-2 1.4667e-1 -4.8919e-2
53.00 0.0691 1.5892e-2 1.0826e-1 -6.6795e-2
54.00 0.0789 3.6850e-2 8.3209e-2 -7.5893e-2
55.00 0.0828 4.8926e-2 6.5857e-2 -7.9502e-2
56.00 0.0830 5.5322e-2 5.3252e-2 -7.9667e-2
57.00 0.0810 5.8220e-2 4.3634e-2 -7.7828e-2
58.00 0.0778 5.8963e-2 3.6030e-2 -7.4874e-2
59.00 0.0740 5.8356e-2 2.9895e-2 -7.1333e-2
