# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.5378 -7.7137e0 6.2599e-1 -9.7092e-1
33.00 1.6705 -7.2304e0 1.8639e0 -8.1185e-1
34.00 -0.9354 -1.0270e1 3.7571e0 1.5482e0
35.00 -0.8979 -1.0059e1 8.5535e0 1.4545e0
36.00 -0.4812 -6.3654e0 3.2470e0 6.1796e-1
37.00 -0.5480 -5.4345e0 2.9688e0 7.2976e-1
38.00 -0.7405 -4.8860e0 3.1374e0 1.0970e0
39.00 -0.8741 -4.2963e0 2.9769e0 1.3966e0
40.00 -0.9788 -3.8060e0 3.0194e0 1.6611e0
41.00 -1.0846 -3.3781e0 2.8304e0 1.9583e0
42.00 -1.0547 -2.7723e0 2.1996e0 1.8711e0
43.00 -0.9946 -2.2741e0 1.8193e0 1.7035e0
44.00 -0.8859 -1.8497e0 1.6379e0 1.4253e0
45.00 -0.7277 -1.4209e0 1.3240e0 1.0702e0
46.00 -0.5477 -1.0085e0 9.5012e-1 7.2920e-1
47.00 -0.3826 -6.7798e-1 6.5152e-1 4.6614e-1
48.00 -0.2536 -4.4225e-1 4.3391e-1 2.8860e-1
49.00 -0.1516 -2.6626e-1 2.6460e-1 1.6371e-1
50.00 -0.0773 -1.4558e-1 1.5260e-1 8.0352e-2
51.00 -0.0278 -7.0231e-2 9.1258e-2 2.8175e-2
52.00 0.0024 -2.6208e-2 6.0051e-2 -2.4123e-3
53.00 0.0199 -3.5017e-4 4.1521e-2 -1.9701e-2
54.00 0.0293 1.4415e-2 2.9726e-2 -2.8894e-2
55.00 0.0335 2.2097e-2 2.2254e-2 -3.2901e-2
56.00 0.0344 2.5623e-2 1.7072e-2 -3.3832e-2
57.00 0.0336 2.6713e-2 1.3294e-2 -3.3028e-2
58.00 0.0318 2.6425e-2 1.0430e-2 -3.1319e-2
59.00 0.0296 2.5375e-2 8.2142e-3 -2.9186e-2
