# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.3817 -7.9975e0 7.7171e-1 -9.6601e-1
33.00 1.5461 -7.7450e0 2.7519e0 -7.8693e-1
34.00 -0.9269 -1.0600e1 4.4828e0 1.5268e0
35.00 -1.0536 -1.0712e1 8.2616e0 1.8679e0
36.00 -0.4426 -6.4516e0 3.3312e0 5.5673e-1
37.00 -0.5178 -5.5525e0 3.2157e0 6.7833e-1
38.00 -0.7605 -5.1566e0 3.7688e0 1.1394e0
39.00 -0.8931 -4.5366e0 3.5190e0 1.4427e0
40.00 -1.0042 -4.0615e0 3.5963e0 1.7298e0
41.00 -1.1257 -3.6647e0 3.4404e0 2.0823e0
42.00 -1.0935 -3.0424e0 2.7797e0 1.9846e0
43.00 -1.0193 -2.4996e0 2.3186e0 1.7712e0
44.00 -0.9098 -2.0882e0 2.2499e0 1.4839e0
45.00 -0.7422 -1.6403e0 1.9428e0 1.1006e0
46.00 -0.5470 -1.1854e0 1.5096e0 7.2813e-1
47.00 -0.3684 -8.1060e-1 1.1175e0 4.4541e-1
48.00 -0.2298 -5.3743e-1 7.9147e-1 2.5834e-1
49.00 -0.1175 -3.2072e-1 5.0806e-1 1.2464e-1
50.00 -0.0358 -1.7023e-1 3.1536e-1 3.6484e-2
51.00 0.0181 -7.5316e-2 2.0559e-1 -1.7913e-2
52.00 0.0507 -1.8645e-2 1.4625e-1 -4.9425e-2
53.00 0.0694 1.6130e-2 1.0860e-1 -6.7075e-2
54.00 0.0793 3.7263e-2 8.3057e-2 -7.6208e-2
55.00 0.0831 4.9178e-2 6.5855e-2 -7.9722e-2
56.00 0.0832 5.5522e-2 5.3263e-2 -7.9847e-2
57.00 0.0812 5.8386e-2 4.3646e-2 -7.7980e-2
58.00 0.0780 5.9106e-2 3.6040e-2 -7.5005e-2
59.00 0.0741 5.8480e-2 2.9903e-2 -7.1447e-2
