# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.4008 -8.2094e0 7.9716e-1 -9.6665e-1
33.00 1.6445 -8.5362e0 3.6659e0 -8.0689e-1
34.00 -0.6089 -1.1077e1 4.8396e0 8.3848e-1
35.00 -0.9138 -1.1202e1 6.7097e0 1.4939e0
36.00 -0.0138 -6.4417e0 3.5333e0 1.3854e-2
37.00 -0.0500 -5.4539e0 3.5361e0 5.1277e-2
38.00 -0.4349 -5.4674e0 4.9201e0 5.4475e-1
39.00 -0.5730 -4.7824e0 4.4950e0 7.7355e-1
40.00 -0.6914 -4.2629e0 4.3517e0 9.9644e-1
41.00 -0.8464 -3.9279e0 4.3549e0 1.3312e0
42.00 -0.8223 -3.3029e0 3.7073e0 1.2758e0
43.00 -0.7289 -2.6885e0 3.1214e0 1.0728e0
44.00 -0.6177 -2.2848e0 3.1684e0 8.5467e-1
45.00 -0.4359 -1.8193e0 2.9730e0 5.4643e-1
46.00 -0.2185 -1.3155e0 2.5944e0 2.4425e-1
47.00 -0.0191 -8.7482e-1 2.1324e0 1.9265e-2
48.00 0.1351 -5.3476e-1 1.6450e0 -1.2637e-1
49.00 0.2661 -2.3964e-1 1.1739e0 -2.3362e-1
50.00 0.3617 -2.5530e-2 8.2677e-1 -3.0352e-1
51.00 0.4245 1.1522e-1 6.1281e-1 -3.4587e-1
52.00 0.4617 2.0338e-1 4.8905e-1 -3.6979e-1
53.00 0.4823 2.6114e-1 4.0567e-1 -3.8263e-1
54.00 0.4920 2.9957e-1 3.4516e-1 -3.8858e-1
55.00 0.4938 3.2388e-1 3.0124e-1 -3.8968e-1
56.00 0.4905 3.3921e-1 2.6674e-1 -3.8771e-1
57.00 0.4841 3.4847e-1 2.3854e-1 -3.8374e-1
58.00 0.4756 3.5355e-1 2.1471e-1 -3.7849e-1
59.00 0.4658 3.5564e-1 1.9416e-1 -3.7239e-1
