# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.4753 -7.8277e0 6.9487e-1 -9.6905e-1
33.00 1.6196 -7.4313e0 2.2328e0 -8.0202e-1
34.00 -0.9281 -1.0386e1 4.0599e0 1.5298e0
35.00 -0.9658 -1.0346e1 8.5085e0 1.6268e0
36.00 -0.4673 -6.3966e0 3.2770e0 5.9570e-1
37.00 -0.5401 -5.4857e0 3.0754e0 7.1624e-1
38.00 -0.7525 -4.9963e0 3.3917e0 1.1223e0
39.00 -0.8853 -4.3936e0 3.1946e0 1.4236e0
40.00 -0.9923 -3.9099e0 3.2562e0 1.6974e0
41.00 -1.1041 -3.4936e0 3.0765e0 2.0165e0
42.00 -1.0730 -2.8807e0 2.4328e0 1.9242e0
43.00 -1.0070 -2.3642e0 2.0195e0 1.7374e0
44.00 -0.8979 -1.9448e0 1.8835e0 1.4545e0
45.00 -0.7357 -1.5072e0 1.5670e0 1.0869e0
46.00 -0.5493 -1.0767e0 1.1634e0 7.3212e-1
47.00 -0.3788 -7.2826e-1 8.2538e-1 4.6051e-1
48.00 -0.2460 -4.7802e-1 5.6555e-1 2.7889e-1
49.00 -0.1401 -2.8651e-1 3.5273e-1 1.5036e-1
50.00 -0.0630 -1.5461e-1 2.1044e-1 6.5029e-2
51.00 -0.0119 -7.2031e-2 1.3118e-1 1.1977e-2
52.00 0.0191 -2.3413e-2 8.9652e-2 -1.8934e-2
53.00 0.0370 5.6337e-3 6.4160e-2 -3.6308e-2
54.00 0.0465 2.2627e-2 4.7401e-2 -4.5411e-2
55.00 0.0504 3.1736e-2 3.6456e-2 -4.9154e-2
56.00 0.0510 3.6163e-2 2.8658e-2 -4.9701e-2
57.00 0.0496 3.7771e-2 2.2843e-2 -4.8417e-2
58.00 0.0473 3.7724e-2 1.8345e-2 -4.6157e-2
59.00 0.0444 3.6708e-2 1.4796e-2 -4.3420e-2
