# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.2609 -9.6336e0 1.9418e-1 -8.9574e-1
33.00 -0.3312 -1.0604e1 2.5749e0 3.9270e-1
34.00 -0.6975 -9.4605e0 2.6242e0 1.0086e0
35.00 -1.8332 -1.1929e1 6.7597e0 5.2542e0
36.00 -0.8555 -7.3650e0 3.7078e0 1.3524e0
37.00 -0.8105 -6.4058e0 4.1061e0 1.2491e0
38.00 -0.8563 -5.7224e0 4.9132e0 1.3544e0
39.00 -0.9365 -4.7983e0 3.3225e0 1.5511e0
40.00 -1.0606 -4.3757e0 3.7872e0 1.8882e0
41.00 -1.2353 -4.1567e0 4.1615e0 2.4393e0
42.00 -1.1956 -3.4478e0 3.3435e0 2.3055e0
43.00 -1.1357 -2.9641e0 3.2889e0 2.1134e0
44.00 -1.0107 -2.4396e0 2.7534e0 1.7476e0
45.00 -0.8386 -1.9258e0 2.2570e0 1.3131e0
46.00 -0.6346 -1.4226e0 1.7670e0 8.8633e-1
47.00 -0.4508 -1.0164e0 1.3872e0 5.6964e-1
48.00 -0.2920 -6.7048e-1 9.3488e-1 3.3912e-1
49.00 -0.1656 -4.1566e-1 6.0851e-1 1.8013e-1
50.00 -0.0732 -2.3545e-1 3.7046e-1 7.5967e-2
51.00 -0.0113 -1.2128e-1 2.3842e-1 1.1409e-2
52.00 0.0268 -5.2437e-2 1.6579e-1 -2.6472e-2
53.00 0.0493 -9.9277e-3 1.2062e-1 -4.8141e-2
54.00 0.0616 1.5960e-2 9.0808e-2 -5.9729e-2
55.00 0.0670 3.1148e-2 7.0429e-2 -6.4846e-2
56.00 0.0683 3.9772e-2 5.5524e-2 -6.6025e-2
57.00 0.0670 4.4176e-2 4.4287e-2 -6.4830e-2
58.00 0.0643 4.5952e-2 3.5560e-2 -6.2300e-2
59.00 0.0609 4.6063e-2 2.8669e-2 -5.9056e-2
