# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 1.9982 -9.8919e0 2.0120e-1 -8.6442e-1
33.00 -0.6488 -1.1177e1 2.6903e0 9.1317e-1
34.00 -0.6767 -9.3029e0 2.1666e0 9.6735e-1
35.00 -2.0967 -1.2454e1 6.2120e0 7.1391e0
36.00 -0.9767 -7.6772e0 3.9211e0 1.6558e0
37.00 -0.9149 -6.7414e0 4.5965e0 1.4966e0
38.00 -0.9383 -6.0239e0 5.3583e0 1.5556e0
39.00 -1.0011 -5.0229e0 3.5820e0 1.7214e0
40.00 -1.1310 -4.6350e0 4.1947e0 2.0988e0
41.00 -1.3218 -4.4604e0 4.6032e0 2.7500e0
42.00 -1.2805 -3.7501e0 3.8439e0 2.5983e0
43.00 -1.2116 -3.2513e0 3.8233e0 2.3589e0
44.00 -1.0815 -2.7168e0 3.2636e0 1.9490e0
45.00 -0.8997 -2.1814e0 2.7491e0 1.4589e0
46.00 -0.6821 -1.6483e0 2.2546e0 9.7802e-1
47.00 -0.4855 -1.2121e0 1.8621e0 6.2496e-1
48.00 -0.3109 -8.1692e-1 1.2990e0 3.6460e-1
49.00 -0.1712 -5.2004e-1 8.7711e-1 1.8668e-1
50.00 -0.0676 -3.0418e-1 5.5281e-1 6.9985e-2
51.00 0.0022 -1.6534e-1 3.6880e-1 -2.1849e-3
52.00 0.0458 -7.9581e-2 2.6447e-1 -4.4814e-2
53.00 0.0723 -2.4699e-2 1.9805e-1 -6.9756e-2
54.00 0.0874 1.0435e-2 1.5325e-1 -8.3645e-2
55.00 0.0947 3.2524e-2 1.2191e-1 -9.0337e-2
56.00 0.0971 4.6399e-2 9.8554e-2 -9.2567e-2
57.00 0.0965 5.4789e-2 8.0618e-2 -9.2000e-2
58.00 0.0940 5.9584e-2 6.6426e-2 -8.9760e-2
59.00 0.0905 6.1951e-2 5.4996e-2 -8.6532e-2
