# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.2978 -8.2238e0 8.1858e-1 -9.6304e-1
33.00 1.5297 -8.3263e0 3.5445e0 -7.8339e-1
34.00 -0.7988 -1.0937e1 4.9191e0 1.2230e0
35.00 -1.0565 -1.1104e1 7.3927e0 1.8763e0
36.00 -0.2759 -6.5057e0 3.4298e0 3.1772e-1
37.00 -0.3420 -5.5902e0 3.4514e0 4.0780e-1
38.00 -0.6699 -5.4427e0 4.5459e0 9.5412e-1
39.00 -0.8042 -4.7771e0 4.1690e0 1.2349e0
40.00 -0.9243 -4.2972e0 4.1763e0 1.5201e0
41.00 -1.0677 -3.9390e0 4.0873e0 1.9087e0
42.00 -1.0374 -3.3051e0 3.4136e0 1.8217e0
43.00 -0.9491 -2.7133e0 2.8699e0 1.5834e0
44.00 -0.8393 -2.3131e0 2.9044e0 1.3148e0
45.00 -0.6623 -1.8511e0 2.6536e0 9.3924e-1
46.00 -0.4520 -1.3598e0 2.2317e0 5.7142e-1
47.00 -0.2591 -9.3845e-1 1.7710e0 2.9581e-1
48.00 -0.1099 -6.1987e-1 1.3246e0 1.1622e-1
49.00 0.0147 -3.5105e-1 9.0462e-1 -1.4603e-2
50.00 0.1053 -1.5991e-1 6.0601e-1 -9.9976e-2
51.00 0.1648 -3.6614e-2 4.2738e-1 -1.5195e-1
52.00 0.2004 3.9274e-2 3.2604e-1 -1.8161e-1
53.00 0.2205 8.8010e-2 2.5880e-1 -1.9789e-1
54.00 0.2305 1.1955e-1 2.1098e-1 -2.0589e-1
55.00 0.2334 1.3882e-1 1.7713e-1 -2.0819e-1
56.00 0.2319 1.5043e-1 1.5120e-1 -2.0697e-1
57.00 0.2276 1.5697e-1 1.3052e-1 -2.0356e-1
58.00 0.2217 1.6015e-1 1.1349e-1 -1.9881e-1
59.00 0.2147 1.6101e-1 9.9167e-2 -1.9325e-1
