# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 3.5439 -7.7064e0 6.1461e-1 -9.7110e-1
33.00 1.6977 -7.2104e0 1.8910e0 -8.1689e-1
34.00 -0.9144 -1.0241e1 3.7214e0 1.4954e0
35.00 -0.8746 -1.0010e1 8.5228e0 1.3979e0
36.00 -0.4664 -6.3411e0 3.2049e0 5.9418e-1
37.00 -0.5372 -5.4226e0 2.9642e0 7.1116e-1
38.00 -0.7335 -4.8832e0 3.1490e0 1.0824e0
39.00 -0.8671 -4.2905e0 2.9780e0 1.3801e0
40.00 -0.9732 -3.8021e0 3.0236e0 1.6464e0
41.00 -1.0797 -3.3741e0 2.8305e0 1.9439e0
42.00 -1.0500 -2.7674e0 2.1964e0 1.8576e0
43.00 -0.9900 -2.2693e0 1.8165e0 1.6913e0
44.00 -0.8816 -1.8448e0 1.6343e0 1.4147e0
45.00 -0.7234 -1.4158e0 1.3192e0 1.0614e0
46.00 -0.5437 -1.0039e0 9.4675e-1 7.2232e-1
47.00 -0.3790 -6.7387e-1 6.4880e-1 4.6079e-1
48.00 -0.2503 -4.3864e-1 4.3200e-1 2.8435e-1
49.00 -0.1487 -2.6324e-1 2.6365e-1 1.6031e-1
50.00 -0.0747 -1.4302e-1 1.5229e-1 7.7549e-2
51.00 -0.0255 -6.8018e-2 9.1237e-2 2.5802e-2
52.00 0.0045 -2.4255e-2 6.0138e-2 -4.4700e-3
53.00 0.0217 1.3846e-3 4.1659e-2 -2.1511e-2
54.00 0.0310 1.5967e-2 2.9880e-2 -3.0502e-2
55.00 0.0349 2.3493e-2 2.2402e-2 -3.4340e-2
56.00 0.0358 2.6884e-2 1.7205e-2 -3.5126e-2
57.00 0.0348 2.7852e-2 1.3409e-2 -3.4194e-2
58.00 0.0329 2.7455e-2 1.0528e-2 -3.2371e-2
59.00 0.0306 2.6307e-2 8.2965e-3 -3.0135e-2
