# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.2959 -8.6316e0 1.5295e0 -8.9933e-1
33.00 0.7499 -9.2357e0 3.6453e0 -5.2760e-1
34.00 -0.6423 -1.0688e1 8.3710e0 9.0089e-1
35.00 -0.5400 -7.9822e0 5.4358e0 7.1594e-1
36.00 -0.6953 -6.7020e0 3.7605e0 1.0042e0
37.00 -0.8761 -5.9457e0 3.6090e0 1.4016e0
38.00 -0.9787 -5.1768e0 3.2552e0 1.6609e0
39.00 -1.1086 -4.5988e0 3.2150e0 2.0302e0
40.00 -1.2135 -4.1358e0 3.4468e0 2.3651e0
41.00 -1.2600 -3.6196e0 3.1936e0 2.5255e0
42.00 -1.2595 -3.1048e0 2.7064e0 2.5237e0
43.00 -1.1792 -2.5851e0 2.3101e0 2.2516e0
44.00 -1.0160 -2.0338e0 1.8641e0 1.7620e0
45.00 -0.8230 -1.5463e0 1.4984e0 1.2774e0
46.00 -0.6305 -1.1321e0 1.1618e0 8.7847e-1
47.00 -0.4519 -7.6947e-1 7.5375e-1 5.7133e-1
48.00 -0.3044 -4.9283e-1 4.5052e-1 3.5585e-1
49.00 -0.1900 -2.9595e-1 2.4659e-1 2.0922e-1
50.00 -0.1077 -1.6693e-1 1.3310e-1 1.1376e-1
51.00 -0.0528 -8.7358e-2 7.5452e-2 5.4267e-2
52.00 -0.0188 -4.0370e-2 4.6291e-2 1.8984e-2
53.00 0.0017 -1.2521e-2 2.9764e-2 -1.7434e-3
54.00 0.0133 3.2554e-3 2.0385e-2 -1.3224e-2
55.00 0.0192 1.1798e-2 1.4654e-2 -1.9006e-2
56.00 0.0215 1.5972e-2 1.0914e-2 -2.1314e-2
57.00 0.0219 1.7626e-2 8.2940e-3 -2.1645e-2
58.00 0.0211 1.7858e-2 6.3633e-3 -2.0908e-2
59.00 0.0198 1.7304e-2 4.9042e-3 -1.9629e-2
