# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.2783 -8.6847e0 1.6226e0 -8.9754e-1
33.00 0.7075 -9.3340e0 3.7421e0 -5.0711e-1
34.00 -0.7132 -1.0899e1 8.7095e0 1.0405e0
35.00 -0.5852 -8.0988e0 5.6597e0 7.9535e-1
36.00 -0.7354 -6.7962e0 3.8788e0 1.0864e0
37.00 -0.9221 -6.0622e0 3.7800e0 1.5145e0
38.00 -1.0278 -5.3038e0 3.4453e0 1.7948e0
39.00 -1.1612 -4.7427e0 3.4720e0 2.1939e0
40.00 -1.2677 -4.2947e0 3.7757e0 2.5528e0
41.00 -1.3157 -3.7889e0 3.5579e0 2.7272e0
42.00 -1.3123 -3.2613e0 3.0141e0 2.7147e0
43.00 -1.2253 -2.7248e0 2.5954e0 2.4051e0
44.00 -1.0531 -2.1554e0 2.1437e0 1.8666e0
45.00 -0.8527 -1.6539e0 1.7811e0 1.3460e0
46.00 -0.6536 -1.2261e0 1.4323e0 9.2239e-1
47.00 -0.4662 -8.3538e-1 9.4026e-1 5.9390e-1
48.00 -0.3111 -5.3475e-1 5.6863e-1 3.6487e-1
49.00 -0.1908 -3.1993e-1 3.1503e-1 2.1025e-1
50.00 -0.1048 -1.7978e-1 1.7440e-1 1.1049e-1
51.00 -0.0475 -9.3325e-2 1.0234e-1 4.8642e-2
52.00 -0.0120 -4.2015e-2 6.5039e-2 1.2038e-2
53.00 0.0095 -1.1216e-2 4.3315e-2 -9.4871e-3
54.00 0.0216 6.5098e-3 3.0578e-2 -2.1391e-2
55.00 0.0277 1.6334e-2 2.2547e-2 -2.7350e-2
56.00 0.0301 2.1316e-2 1.7163e-2 -2.9650e-2
57.00 0.0303 2.3449e-2 1.3309e-2 -2.9844e-2
58.00 0.0293 2.3930e-2 1.0418e-2 -2.8877e-2
59.00 0.0277 2.3456e-2 8.1954e-3 -2.7302e-2
