# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.3078 -9.1051e0 2.1060e0 -9.0052e-1
33.00 0.6099 -1.0049e1 4.2848e0 -4.5661e-1
34.00 -1.0935 -1.2589e1 9.4989e0 1.9848e0
35.00 -0.7144 -9.1412e0 7.3887e0 1.0431e0
36.00 -0.7709 -7.4966e0 4.7491e0 1.1618e0
37.00 -0.9745 -6.8676e0 4.9386e0 1.6499e0
38.00 -1.1528 -6.3368e0 4.9839e0 2.1670e0
39.00 -1.3526 -6.0122e0 5.7379e0 2.8674e0
40.00 -1.4869 -5.6507e0 6.2361e0 3.4231e0
41.00 -1.5704 -5.2770e0 6.3460e0 3.8086e0
42.00 -1.5569 -4.6534e0 5.3357e0 3.7442e0
43.00 -1.4171 -3.9908e0 4.8794e0 3.1252e0
44.00 -1.1699 -3.3116e0 4.7001e0 2.2217e0
45.00 -0.9043 -2.7315e0 4.7036e0 1.4703e0
46.00 -0.6508 -2.2342e0 4.6000e0 9.1714e-1
47.00 -0.3724 -1.5640e0 3.4493e0 4.5126e-1
48.00 -0.1312 -9.8723e-1 2.3926e0 1.4018e-1
49.00 0.0600 -5.3990e-1 1.5235e0 -5.8256e-2
50.00 0.1963 -2.4274e-1 1.0047e0 -1.7826e-1
51.00 0.2889 -5.1029e-2 7.1491e-1 -2.5091e-1
52.00 0.3484 7.2000e-2 5.4642e-1 -2.9421e-1
53.00 0.3869 1.5507e-1 4.3772e-1 -3.2081e-1
54.00 0.4102 2.1084e-1 3.6559e-1 -3.3646e-1
55.00 0.4232 2.4889e-1 3.1409e-1 -3.4506e-1
56.00 0.4291 2.7481e-1 2.7535e-1 -3.4892e-1
57.00 0.4303 2.9259e-1 2.4453e-1 -3.4968e-1
58.00 0.4282 3.0469e-1 2.1901e-1 -3.4835e-1
59.00 0.4240 3.1268e-1 1.9730e-1 -3.4555e-1
