# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 8.9658 -1.1572e0 3.2543e-1 -9.9987e-1
26.00 7.0407 -1.0672e0 2.0438e0 -9.9912e-1
27.00 5.3762 -6.3324e-1 1.7522e0 -9.9537e-1
28.00 4.3965 -1.0679e0 4.1210e0 -9.8768e-1
29.00 3.9545 -3.4659e-1 3.3579e0 -9.8083e-1
30.00 3.6079 4.3699e-2 3.2588e0 -9.7289e-1
31.00 3.3037 2.7121e-1 3.5117e0 -9.6325e-1
32.00 3.1593 6.3607e-1 3.1071e0 -9.5755e-1
33.00 3.0261 8.6782e-1 2.9299e0 -9.5149e-1
34.00 2.8902 8.8930e-1 3.5267e0 -9.4443e-1
35.00 2.8321 1.1914e0 2.6466e0 -9.4111e-1
36.00 2.7193 1.2433e0 2.7452e0 -9.3408e-1
37.00 2.6573 1.4079e0 2.4988e0 -9.2986e-1
38.00 2.6050 1.5893e0 2.1169e0 -9.2610e-1
39.00 2.5730 1.7500e0 1.8479e0 -9.2369e-1
40.00 2.5455 1.8683e0 1.7301e0 -9.2156e-1
41.00 2.5304 2.0265e0 1.2699e0 -9.2038e-1
42.00 2.5077 2.1473e0 8.7373e-1 -9.1855e-1
43.00 2.4544 2.1748e0 7.0054e-1 -9.1409e-1
44.00 2.3879 2.1780e0 5.1384e-1 -9.0817e-1
45.00 2.3172 2.1710e0 3.3292e-1 -9.0145e-1
46.00 2.2382 2.1316e0 2.2959e-1 -8.9335e-1
47.00 2.1564 2.0799e0 1.5091e-1 -8.8426e-1
48.00 2.0701 2.0104e0 1.1232e-1 -8.7383e-1
49.00 1.9816 1.9312e0 9.3471e-2 -8.6215e-1
50.00 1.8927 1.8484e0 8.2005e-2 -8.4934e-1
51.00 1.8054 1.7659e0 7.3311e-2 -8.3559e-1
52.00 1.7207 1.6853e0 6.5888e-2 -8.2106e-1
53.00 1.6393 1.6076e0 5.9306e-2 -8.0589e-1
54.00 1.5615 1.5330e0 5.3390e-2 -7.9017e-1
55.00 1.4872 1.4616e0 4.8058e-2 -7.7399e-1
56.00 1.4165 1.3936e0 4.3254e-2 -7.5743e-1
57.00 1.3492 1.3287e0 3.8929e-2 -7.4056e-1
58.00 1.2853 1.2669e0 3.5038e-2 -7.2344e-1
59.00 1.2246 1.2080e0 3.1541e-2 -7.0612e-1
60.00 1.1669 1.1520e0 2.8398e-2 -6.8866e-1
61.00 1.1121 1.0987e0 2.5575e-2 -6.7112e-1
62.00 1.0600 1.0480e0 2.3040e-2 -6.5355e-1
63.00 1.0105 9.9977e-1 2.0762e-2 -6.3598e-1
64.00 0.9636 9.5386e-1 1.8716e-2 -6.1846e-1
65.00 0.9189 9.1017e-1 1.6878e-2 -6.0104e-1
66.00 0.8764 8.6860e-1 1.5227e-2 -5.8374e-1
67.00 0.8361 8.2903e-1 1.3742e-2 -5.6660e-1
68.00 0.7977 7.9136e-1 1.2407e-2 -5.4965e-1
69.00 0.7613 7.5551e-1 1.1206e-2 -5.3292e-1
70.00 0.7266 7.2138e-1 1.0126e-2 -5.1643e-1
71.00 0.6936 6.8888e-1 9.1528e-3 -5.0021e-1
72.00 0.6622 6.5793e-1 8.2768e-3 -4.8426e-1
73.00 0.6323 6.2846e-1 7.4877e-3 -4.6862e-1
74.00 0.6038 6.0038e-1 6.7765e-3 -4.5329e-1
75.00 0.5768 5.7363e-1 6.1353e-3 -4.3828e-1
76.00 0.5510 5.4815e-1 5.5569e-3 -4.2361e-1
77.00 0.5264 5.2386e-1 5.0350e-3 -4.0928e-1
78.00 0.5030 5.0072e-1 4.5639e-3 -3.9531e-1
79.00 0.4808 4.7865e-1 4.1385e-3 -3.8168e-1
80.00 0.4595 4.5762e-1 3.7541e-3 -3.6841e-1
81.00 0.4393 4.3756e-1 3.4067e-3 -3.5550e-1
82.00 0.4200 4.1843e-1 3.0926e-3 -3.4295e-1
83.00 0.4016 4.0019e-1 2.8085e-3 -3.3076e-1
84.00 0.3841 3.8278e-1 2.5514e-3 -3.1892e-1
85.00 0.3673 3.6618e-1 2.3187e-3 -3.0743e-1
86.00 0.3514 3.5033e-1 2.1079e-3 -2.9630e-1
87.00 0.3362 3.3521e-1 1.9169e-3 -2.8550e-1
88.00 0.3217 3.2078e-1 1.7438e-3 -2.7505e-1
89.00 0.3078 3.0700e-1 1.5869e-3 -2.6494e-1
90.00 0.2946 2.9384e-1 1.4446e-3 -2.5515e-1
91.00 0.2819 2.8128e-1 1.3154e-3 -2.4569e-1
92.00 0.2699 2.6929e-1 1.1982e-3 -2.3654e-1
93.00 0.2584 2.5783e-1 1.0918e-3 -2.2770e-1
94.00 0.2474 2.4688e-1 9.9510e-4 -2.1916e-1
95.00 0.2369 2.3643e-1 9.0725e-4 -2.1092e-1
96.00 0.2268 2.2643e-1 8.2741e-4 -2.0296e-1
97.00 0.2173 2.1688e-1 7.5481e-4 -1.9528e-1
98.00 0.2081 2.0776e-1 6.8877e-4 -1.8788e-1
99.00 0.1993 1.9903e-1 6.2869e-4 -1.8074e-1
