# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 3.6526 -6.8007e0 1.9832e0 -9.7408e-1
26.00 1.5644 -7.1827e0 5.1721e0 -7.9078e-1
27.00 0.7785 -5.6043e0 3.1273e0 -5.4088e-1
28.00 0.1528 -4.9162e0 3.0451e0 -1.4172e-1
29.00 -0.2225 -4.4361e0 3.5611e0 2.4922e-1
30.00 -0.4705 -3.9430e0 3.3003e0 6.0083e-1
31.00 -0.5948 -3.5036e0 3.3850e0 8.1259e-1
32.00 -0.6542 -3.1395e0 3.3338e0 9.2364e-1
33.00 -0.6528 -2.7971e0 3.2006e0 9.2094e-1
34.00 -0.6132 -2.4420e0 3.0137e0 8.4631e-1
35.00 -0.5548 -2.1023e0 2.7049e0 7.4165e-1
36.00 -0.4927 -1.7895e0 2.3831e0 6.3669e-1
37.00 -0.4328 -1.5356e0 2.2609e0 5.4163e-1
38.00 -0.3557 -1.2453e0 1.9368e0 4.2724e-1
39.00 -0.2677 -9.5417e-1 1.5759e0 3.0690e-1
40.00 -0.1735 -6.8370e-1 1.2331e0 1.8951e-1
41.00 -0.0869 -4.5244e-1 9.1778e-1 9.0813e-2
42.00 -0.0149 -2.7574e-1 6.8036e-1 1.4965e-2
43.00 0.0403 -1.3448e-1 4.5762e-1 -3.9518e-2
44.00 0.0760 -4.0327e-2 3.0806e-1 -7.3198e-2
45.00 0.0983 2.5424e-2 1.9225e-1 -9.3660e-2
46.00 0.1135 7.4206e-2 9.7956e-2 -1.0728e-1
47.00 0.1213 1.0311e-1 4.1946e-2 -1.1422e-1
48.00 0.1227 1.1476e-1 1.6935e-2 -1.1548e-1
49.00 0.1187 1.1517e-1 7.1789e-3 -1.1191e-1
50.00 0.1113 1.0941e-1 3.7315e-3 -1.0533e-1
51.00 0.1024 1.0116e-1 2.3945e-3 -9.7311e-2
52.00 0.0929 9.2045e-2 1.7634e-3 -8.8753e-2
53.00 0.0837 8.2987e-2 1.3779e-3 -8.0282e-2
54.00 0.0750 7.4400e-2 1.0934e-3 -7.2216e-2
55.00 0.0669 6.6464e-2 8.6788e-4 -6.4716e-2
56.00 0.0596 5.9238e-2 6.8617e-4 -5.7846e-2
57.00 0.0530 5.2720e-2 5.4008e-4 -5.1614e-2
58.00 0.0471 4.6873e-2 4.2350e-4 -4.5996e-2
59.00 0.0418 4.1650e-2 3.3116e-4 -4.0955e-2
60.00 0.0371 3.6996e-2 2.5847e-4 -3.6446e-2
61.00 0.0330 3.2856e-2 2.0150e-4 -3.2420e-2
62.00 0.0293 2.9176e-2 1.5700e-4 -2.8832e-2
63.00 0.0260 2.5909e-2 1.2232e-4 -2.5636e-2
64.00 0.0231 2.3009e-2 9.5318e-5 -2.2793e-2
65.00 0.0205 2.0434e-2 7.4309e-5 -2.0264e-2
66.00 0.0182 1.8150e-2 5.7962e-5 -1.8015e-2
67.00 0.0161 1.6123e-2 4.5237e-5 -1.6016e-2
68.00 0.0143 1.4324e-2 3.5326e-5 -1.4239e-2
69.00 0.0127 1.2727e-2 2.7603e-5 -1.2660e-2
70.00 0.0113 1.1310e-2 2.1581e-5 -1.1257e-2
71.00 0.0101 1.0052e-2 1.6882e-5 -1.0010e-2
72.00 0.0089 8.9351e-3 1.3214e-5 -8.9019e-3
73.00 0.0079 7.9436e-3 1.0350e-5 -7.9172e-3
74.00 0.0071 7.0630e-3 8.1103e-6 -7.0422e-3
75.00 0.0063 6.2811e-3 6.3590e-6 -6.2645e-3
76.00 0.0056 5.5865e-3 4.9887e-6 -5.5734e-3
77.00 0.0050 4.9694e-3 3.9157e-6 -4.9590e-3
78.00 0.0044 4.4211e-3 3.0752e-6 -4.4129e-3
79.00 0.0039 3.9339e-3 2.4163e-6 -3.9274e-3
80.00 0.0035 3.5009e-3 1.8995e-6 -3.4957e-3
81.00 0.0031 3.1160e-3 1.4940e-6 -3.1119e-3
82.00 0.0028 2.7738e-3 1.1756e-6 -2.7705e-3
83.00 0.0025 2.4695e-3 9.2549e-7 -2.4669e-3
84.00 0.0022 2.1988e-3 7.2893e-7 -2.1968e-3
85.00 0.0020 1.9581e-3 5.7437e-7 -1.9565e-3
86.00 0.0017 1.7440e-3 4.5278e-7 -1.7427e-3
87.00 0.0016 1.5535e-3 3.5707e-7 -1.5525e-3
88.00 0.0014 1.3840e-3 2.8172e-7 -1.3832e-3
89.00 0.0012 1.2331e-3 2.2235e-7 -1.2325e-3
90.00 0.0011 1.0988e-3 1.7556e-7 -1.0983e-3
91.00 0.0010 9.7925e-4 1.3867e-7 -9.7884e-4
92.00 0.0009 8.7281e-4 1.0958e-7 -8.7249e-4
93.00 0.0008 7.7803e-4 8.6616e-8 -7.7777e-4
94.00 0.0007 6.9362e-4 6.8490e-8 -6.9341e-4
95.00 0.0006 6.1843e-4 5.4176e-8 -6.1827e-4
96.00 0.0006 5.5145e-4 4.2868e-8 -5.5132e-4
97.00 0.0005 4.9178e-4 3.3932e-8 -4.9168e-4
98.00 0.0004 4.3862e-4 2.6866e-8 -4.3853e-4
99.00 0.0004 3.9124e-4 2.1279e-8 -3.9117e-4
