# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 6.5181 -3.9808e0 1.9680e0 -9.9852e-1
26.00 4.0816 -5.0750e0 6.1542e0 -9.8312e-1
27.00 3.3208 -3.1690e0 3.2629e0 -9.6388e-1
28.00 2.6159 -2.5777e0 3.3016e0 -9.2690e-1
29.00 2.1628 -2.1659e0 3.6912e0 -8.8499e-1
30.00 1.8363 -1.7717e0 3.5730e0 -8.4060e-1
31.00 1.6496 -1.3624e0 3.4731e0 -8.0787e-1
32.00 1.5054 -1.0983e0 3.4943e0 -7.7808e-1
33.00 1.4113 -8.9838e-1 3.6282e0 -7.5617e-1
34.00 1.3649 -6.1807e-1 3.3388e0 -7.4458e-1
35.00 1.3339 -3.6976e-1 3.0268e0 -7.3655e-1
36.00 1.3091 -1.3903e-1 2.6803e0 -7.2994e-1
37.00 1.2890 4.0700e-2 2.5681e0 -7.2444e-1
38.00 1.2917 2.5976e-1 2.2705e0 -7.2519e-1
39.00 1.3120 4.9900e-1 1.8677e0 -7.3071e-1
40.00 1.3413 7.1901e-1 1.5051e0 -7.3851e-1
41.00 1.3644 8.9969e-1 1.1699e0 -7.4446e-1
42.00 1.3732 1.0255e0 9.0750e-1 -7.4670e-1
43.00 1.3664 1.1189e0 6.4542e-1 -7.4497e-1
44.00 1.3408 1.1635e0 4.6137e-1 -7.3836e-1
45.00 1.3033 1.1807e0 3.0957e-1 -7.2835e-1
46.00 1.2606 1.1821e0 1.8013e-1 -7.1651e-1
47.00 1.2120 1.1622e0 1.0278e-1 -7.0241e-1
48.00 1.1581 1.1230e0 6.7785e-2 -6.8591e-1
49.00 1.1002 1.0728e0 5.1954e-2 -6.6721e-1
50.00 1.0411 1.0180e0 4.3523e-2 -6.4692e-1
51.00 0.9825 9.6254e-1 3.7755e-2 -6.2564e-1
52.00 0.9258 9.0826e-1 3.3098e-2 -6.0377e-1
53.00 0.8714 8.5605e-1 2.9092e-2 -5.8163e-1
54.00 0.8197 8.0629e-1 2.5570e-2 -5.5945e-1
55.00 0.7709 7.5910e-1 2.2459e-2 -5.3739e-1
56.00 0.7248 7.1449e-1 1.9715e-2 -5.1557e-1
57.00 0.6814 6.7240e-1 1.7299e-2 -4.9410e-1
58.00 0.6406 6.3275e-1 1.5174e-2 -4.7304e-1
59.00 0.6023 5.9543e-1 1.3309e-2 -4.5246e-1
60.00 0.5664 5.6032e-1 1.1673e-2 -4.3241e-1
61.00 0.5326 5.2730e-1 1.0240e-2 -4.1291e-1
62.00 0.5009 4.9626e-1 8.9841e-3 -3.9400e-1
63.00 0.4711 4.6708e-1 7.8844e-3 -3.7570e-1
64.00 0.4432 4.3965e-1 6.9213e-3 -3.5802e-1
65.00 0.4170 4.1388e-1 6.0779e-3 -3.4097e-1
66.00 0.3924 3.8965e-1 5.3391e-3 -3.2455e-1
67.00 0.3693 3.6688e-1 4.6918e-3 -3.0876e-1
68.00 0.3476 3.4548e-1 4.1246e-3 -2.9361e-1
69.00 0.3272 3.2537e-1 3.6273e-3 -2.7907e-1
70.00 0.3081 3.0646e-1 3.1912e-3 -2.6514e-1
71.00 0.2901 2.8868e-1 2.8086e-3 -2.5182e-1
72.00 0.2732 2.7197e-1 2.4729e-3 -2.3908e-1
73.00 0.2574 2.5626e-1 2.1781e-3 -2.2691e-1
74.00 0.2425 2.4149e-1 1.9192e-3 -2.1530e-1
75.00 0.2284 2.2759e-1 1.6918e-3 -2.0423e-1
76.00 0.2153 2.1452e-1 1.4919e-3 -1.9368e-1
77.00 0.2029 2.0223e-1 1.3162e-3 -1.8364e-1
78.00 0.1913 1.9066e-1 1.1616e-3 -1.7407e-1
79.00 0.1803 1.7978e-1 1.0255e-3 -1.6498e-1
80.00 0.1700 1.6954e-1 9.0573e-4 -1.5633e-1
81.00 0.1603 1.5990e-1 8.0024e-4 -1.4812e-1
82.00 0.1512 1.5083e-1 7.0730e-4 -1.4031e-1
83.00 0.1426 1.4229e-1 6.2539e-4 -1.3290e-1
84.00 0.1345 1.3425e-1 5.5316e-4 -1.2587e-1
85.00 0.1269 1.2667e-1 4.8944e-4 -1.1920e-1
86.00 0.1198 1.1954e-1 4.3322e-4 -1.1287e-1
87.00 0.1130 1.1282e-1 3.8358e-4 -1.0686e-1
88.00 0.1067 1.0650e-1 3.3975e-4 -1.0118e-1
89.00 0.1007 1.0053e-1 3.0103e-4 -9.5782e-2
90.00 0.0950 9.4916e-2 2.6680e-4 -9.0672e-2
91.00 0.0897 8.9621e-2 2.3655e-4 -8.5831e-2
92.00 0.0847 8.4631e-2 2.0979e-4 -8.1245e-2
93.00 0.0800 7.9926e-2 1.8611e-4 -7.6902e-2
94.00 0.0756 7.5491e-2 1.6516e-4 -7.2789e-2
95.00 0.0714 7.1309e-2 1.4661e-4 -6.8895e-2
96.00 0.0674 6.7366e-2 1.3018e-4 -6.5208e-2
97.00 0.0637 6.3647e-2 1.1563e-4 -6.1718e-2
98.00 0.0602 6.0139e-2 1.0273e-4 -5.8414e-2
99.00 0.0569 5.6829e-2 9.1300e-5 -5.5288e-2
