# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 10.0555 -4.3411e-1 1.8952e0 -9.9996e-1
26.00 7.3961 -1.9014e0 6.4256e0 -9.9939e-1
27.00 6.5916 5.1372e-2 3.2771e0 -9.9863e-1
28.00 5.8159 5.4581e-1 3.4322e0 -9.9702e-1
29.00 5.2979 9.0097e-1 3.7106e0 -9.9500e-1
30.00 4.9086 1.2150e0 3.7074e0 -9.9262e-1
31.00 4.6690 1.5846e0 3.5273e0 -9.9062e-1
32.00 4.4572 1.7590e0 3.6538e0 -9.8840e-1
33.00 4.2926 1.8611e0 3.9475e0 -9.8633e-1
34.00 4.1780 2.0790e0 3.5705e0 -9.8467e-1
35.00 4.0732 2.2440e0 3.2554e0 -9.8298e-1
36.00 3.9759 2.3974e0 2.9111e0 -9.8124e-1
37.00 3.8886 2.5078e0 2.8298e0 -9.7953e-1
38.00 3.8282 2.6641e0 2.5435e0 -9.7825e-1
39.00 3.7897 2.8536e0 2.1103e0 -9.7740e-1
40.00 3.7618 3.0232e0 1.7445e0 -9.7676e-1
41.00 3.7275 3.1507e0 1.4186e0 -9.7595e-1
42.00 3.6794 3.2251e0 1.1548e0 -9.7476e-1
43.00 3.6168 3.2709e0 8.7709e-1 -9.7313e-1
44.00 3.5362 3.2705e0 6.6604e-1 -9.7088e-1
45.00 3.4444 3.2437e0 4.8227e-1 -9.6808e-1
46.00 3.3485 3.2032e0 3.1507e-1 -9.6486e-1
47.00 3.2473 3.1395e0 2.1108e-1 -9.6112e-1
48.00 3.1405 3.0533e0 1.6239e-1 -9.5674e-1
49.00 3.0299 2.9547e0 1.3823e-1 -9.5168e-1
50.00 2.9186 2.8513e0 1.2334e-1 -9.4599e-1
51.00 2.8088 2.7479e0 1.1193e-1 -9.3972e-1
52.00 2.7018 2.6463e0 1.0213e-1 -9.3291e-1
53.00 2.5981 2.5476e0 9.3375e-2 -9.2559e-1
54.00 2.4982 2.4522e0 8.5434e-2 -9.1777e-1
55.00 2.4022 2.3602e0 7.8195e-2 -9.0948e-1
56.00 2.3100 2.2717e0 7.1587e-2 -9.0074e-1
57.00 2.2216 2.1866e0 6.5552e-2 -8.9156e-1
58.00 2.1368 2.1049e0 6.0041e-2 -8.8197e-1
59.00 2.0556 2.0264e0 5.5008e-2 -8.7198e-1
60.00 1.9777 1.9511e0 5.0412e-2 -8.6161e-1
61.00 1.9031 1.8788e0 4.6216e-2 -8.5090e-1
62.00 1.8317 1.8094e0 4.2384e-2 -8.3985e-1
63.00 1.7632 1.7428e0 3.8884e-2 -8.2850e-1
64.00 1.6975 1.6789e0 3.5687e-2 -8.1686e-1
65.00 1.6346 1.6175e0 3.2767e-2 -8.0497e-1
66.00 1.5743 1.5586e0 3.0097e-2 -7.9284e-1
67.00 1.5164 1.5021e0 2.7656e-2 -7.8050e-1
68.00 1.4609 1.4478e0 2.5424e-2 -7.6798e-1
69.00 1.4077 1.3956e0 2.3382e-2 -7.5529e-1
70.00 1.3566 1.3455e0 2.1513e-2 -7.4247e-1
71.00 1.3076 1.2974e0 1.9801e-2 -7.2953e-1
72.00 1.2606 1.2512e0 1.8233e-2 -7.1651e-1
73.00 1.2154 1.2068e0 1.6797e-2 -7.0341e-1
74.00 1.1720 1.1641e0 1.5480e-2 -6.9026e-1
75.00 1.1304 1.1231e0 1.4272e-2 -6.7709e-1
76.00 1.0904 1.0836e0 1.3163e-2 -6.6391e-1
77.00 1.0519 1.0457e0 1.2146e-2 -6.5074e-1
78.00 1.0150 1.0093e0 1.1211e-2 -6.3759e-1
79.00 0.9795 9.7420e-1 1.0353e-2 -6.2449e-1
80.00 0.9453 9.4046e-1 9.5641e-3 -6.1145e-1
81.00 0.9125 9.0801e-1 8.8386e-3 -5.9849e-1
82.00 0.8809 8.7679e-1 8.1713e-3 -5.8561e-1
83.00 0.8506 8.4673e-1 7.5572e-3 -5.7283e-1
84.00 0.8214 8.1781e-1 6.9918e-3 -5.6017e-1
85.00 0.7932 7.8996e-1 6.4710e-3 -5.4763e-1
86.00 0.7662 7.6315e-1 5.9912e-3 -5.3522e-1
87.00 0.7401 7.3733e-1 5.5489e-3 -5.2296e-1
88.00 0.7151 7.1247e-1 5.1410e-3 -5.1084e-1
89.00 0.6909 6.8852e-1 4.7647e-3 -4.9889e-1
90.00 0.6677 6.6544e-1 4.4175e-3 -4.8710e-1
91.00 0.6453 6.4320e-1 4.0969e-3 -4.7548e-1
92.00 0.6237 6.2178e-1 3.8008e-3 -4.6404e-1
93.00 0.6029 6.0112e-1 3.5272e-3 -4.5278e-1
94.00 0.5829 5.8121e-1 3.2743e-3 -4.4171e-1
95.00 0.5636 5.6202e-1 3.0405e-3 -4.3082e-1
96.00 0.5449 5.4351e-1 2.8243e-3 -4.2012e-1
97.00 0.5270 5.2567e-1 2.6242e-3 -4.0962e-1
98.00 0.5097 5.0845e-1 2.4390e-3 -3.9931e-1
99.00 0.4930 4.9185e-1 2.2675e-3 -3.8920e-1
