# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 1.0800 -1.1230e1 2.4472e0 -6.6040e-1
33.00 0.4481 -9.6574e0 2.5975e0 -3.6116e-1
34.00 -0.5441 -9.6739e0 3.5915e0 7.2313e-1
35.00 -1.1840 -1.0224e1 8.7909e0 2.2674e0
36.00 -0.9503 -7.5733e0 4.0738e0 1.5864e0
37.00 -1.0070 -6.8522e0 5.8130e0 1.7374e0
38.00 -1.0911 -6.0715e0 5.1745e0 1.9776e0
39.00 -1.2880 -5.7557e0 6.0775e0 2.6256e0
40.00 -1.4062 -5.1882e0 5.4054e0 3.0803e0
41.00 -1.4569 -4.7009e0 5.5279e0 3.2927e0
42.00 -1.4404 -4.0819e0 4.6541e0 3.2222e0
43.00 -1.3345 -3.4387e0 3.9185e0 2.7980e0
44.00 -1.1554 -2.8241e0 3.4644e0 2.1754e0
45.00 -0.9311 -2.2241e0 2.9746e0 1.5374e0
46.00 -0.7094 -1.7169e0 2.5810e0 1.0327e0
47.00 -0.4994 -1.2440e0 2.0179e0 6.4769e-1
48.00 -0.3167 -8.3038e-1 1.3793e0 3.7262e-1
49.00 -0.1729 -5.1496e-1 8.6506e-1 1.8870e-1
50.00 -0.0696 -3.0222e-1 5.4773e-1 7.2116e-2
51.00 -0.0008 -1.6693e-1 3.6836e-1 8.1831e-4
52.00 0.0423 -8.1825e-2 2.6275e-1 -4.1463e-2
53.00 0.0684 -2.7672e-2 1.9643e-1 -6.6140e-2
54.00 0.0832 6.8754e-3 1.5229e-1 -7.9827e-2
55.00 0.0906 2.8968e-2 1.2097e-1 -8.6590e-2
56.00 0.0931 4.2829e-2 9.7803e-2 -8.8902e-2
57.00 0.0926 5.1330e-2 7.9968e-2 -8.8487e-2
58.00 0.0904 5.6288e-2 6.5847e-2 -8.6432e-2
59.00 0.0871 5.8841e-2 5.4479e-2 -8.3400e-2
