# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 0.6015 -1.1881e1 2.1263e0 -4.5201e-1
33.00 0.1056 -1.0433e1 3.2181e0 -1.0019e-1
34.00 -0.8113 -1.0262e1 3.6961e0 1.2507e0
35.00 -1.5078 -1.1135e1 9.1531e0 3.5169e0
36.00 -1.1578 -8.1955e0 4.3744e0 2.1830e0
37.00 -1.1652 -7.6474e0 7.8360e0 2.2065e0
38.00 -1.1976 -6.6305e0 5.9571e0 2.3121e0
39.00 -1.4252 -6.4635e0 7.5043e0 3.1587e0
40.00 -1.5462 -5.8435e0 6.3960e0 3.6934e0
41.00 -1.6017 -5.3549e0 6.4432e0 3.9616e0
42.00 -1.5770 -4.6847e0 5.4157e0 3.8405e0
43.00 -1.4503 -3.9730e0 4.5614e0 3.2644e0
44.00 -1.2559 -3.3433e0 4.2026e0 2.5111e0
45.00 -1.0130 -2.7257e0 3.8471e0 1.7539e0
46.00 -0.7739 -2.2021e0 3.5814e0 1.1681e0
47.00 -0.5379 -1.6707e0 3.0135e0 7.1234e-1
48.00 -0.3228 -1.1617e0 2.2144e0 3.8100e-1
49.00 -0.1481 -7.4846e-1 1.4883e0 1.5968e-1
50.00 -0.0206 -4.5946e-1 1.0081e0 2.0777e-2
51.00 0.0664 -2.6898e-1 7.2269e-1 -6.4251e-2
52.00 0.1230 -1.4343e-1 5.4666e-1 -1.1573e-1
53.00 0.1591 -5.8787e-2 4.3191e-1 -1.4709e-1
54.00 0.1813 -7.2060e-4 3.5258e-1 -1.6582e-1
55.00 0.1941 3.9911e-2 2.9419e-1 -1.7644e-1
56.00 0.2005 6.8504e-2 2.4943e-1 -1.8166e-1
57.00 0.2026 8.8836e-2 2.1376e-1 -1.8337e-1
58.00 0.2018 1.0335e-1 1.8455e-1 -1.8278e-1
59.00 0.1992 1.1361e-1 1.6018e-1 -1.8062e-1
