# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.6025 -8.9435e0 8.1052e-1 -9.2591e-1
33.00 0.9487 -8.7116e0 3.2165e0 -6.1277e-1
34.00 -1.3341 -1.1359e1 4.8931e0 2.7965e0
35.00 -1.5200 -1.1351e1 7.4955e0 3.5722e0
36.00 -0.8287 -7.1088e0 3.4595e0 1.2903e0
37.00 -0.9649 -6.5197e0 4.1596e0 1.6247e0
38.00 -1.2877 -6.3841e0 5.0987e0 2.6245e0
39.00 -1.4370 -6.0974e0 6.8953e0 3.2080e0
40.00 -1.3974 -5.0421e0 4.9240e0 3.0445e0
41.00 -1.5051 -4.6258e0 4.6966e0 3.5047e0
42.00 -1.4351 -3.9510e0 4.0819e0 3.2000e0
43.00 -1.3145 -3.3190e0 3.5421e0 2.7230e0
44.00 -1.1839 -2.9510e0 3.9048e0 2.2671e0
45.00 -0.9605 -2.4089e0 3.5865e0 1.6129e0
46.00 -0.6985 -1.8125e0 3.0472e0 1.0108e0
47.00 -0.4556 -1.2762e0 2.3556e0 5.7716e-1
48.00 -0.2702 -8.8916e-1 1.8070e0 3.1026e-1
49.00 -0.1084 -5.2825e-1 1.1348e0 1.1444e-1
50.00 0.0086 -2.8165e-1 7.0729e-1 -8.5619e-3
51.00 0.0864 -1.2672e-1 4.7380e-1 -8.2745e-2
52.00 0.1352 -3.1618e-2 3.5019e-1 -1.2648e-1
53.00 0.1655 3.0544e-2 2.7109e-1 -1.5253e-1
54.00 0.1835 7.1799e-2 2.1680e-1 -1.6761e-1
55.00 0.1927 9.8240e-2 1.7972e-1 -1.7524e-1
56.00 0.1963 1.1541e-1 1.5204e-1 -1.7819e-1
57.00 0.1962 1.2639e-1 1.3041e-1 -1.7815e-1
58.00 0.1938 1.3320e-1 1.1285e-1 -1.7618e-1
59.00 0.1899 1.3709e-1 9.8237e-2 -1.7297e-1
