# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.1370 -9.1099e0 2.0536e0 -8.8199e-1
33.00 0.4866 -9.9363e0 4.2371e0 -3.8526e-1
34.00 -1.1231 -1.2211e1 9.8233e0 2.0744e0
35.00 -0.8244 -8.8885e0 7.0093e0 1.2805e0
36.00 -0.9193 -7.3629e0 4.4952e0 1.5076e0
37.00 -1.1239 -6.7228e0 4.6589e0 2.0769e0
38.00 -1.2653 -6.0873e0 4.5647e0 2.5441e0
39.00 -1.4383 -5.6868e0 5.1199e0 3.2134e0
40.00 -1.5670 -5.3342e0 5.7021e0 3.7921e0
41.00 -1.6355 -4.9103e0 5.6666e0 4.1320e0
42.00 -1.6210 -4.3142e0 4.8241e0 4.0582e0
43.00 -1.4942 -3.6802e0 4.3475e0 3.4558e0
44.00 -1.2720 -3.0319e0 4.0519e0 2.5679e0
45.00 -1.0295 -2.4759e0 3.9097e0 1.7997e0
46.00 -0.7930 -1.9894e0 3.6600e0 1.2100e0
47.00 -0.5441 -1.3985e0 2.6142e0 7.2304e-1
48.00 -0.3322 -9.0958e-1 1.7169e0 3.9406e-1
49.00 -0.1665 -5.4316e-1 1.0290e0 1.8114e-1
50.00 -0.0490 -3.0428e-1 6.3459e-1 5.0206e-2
51.00 0.0298 -1.5396e-1 4.2189e-1 -2.9383e-2
52.00 0.0798 -6.0274e-2 3.0223e-1 -7.6687e-2
53.00 0.1114 9.0568e-4 2.2673e-1 -1.0543e-1
54.00 0.1302 4.0256e-2 1.7814e-1 -1.2207e-1
55.00 0.1404 6.5719e-2 1.4465e-1 -1.3103e-1
56.00 0.1450 8.1969e-2 1.2033e-1 -1.3497e-1
57.00 0.1459 9.2242e-2 1.0167e-1 -1.3576e-1
58.00 0.1445 9.8539e-2 8.6731e-2 -1.3455e-1
59.00 0.1416 1.0209e-1 7.4472e-2 -1.3206e-1
