# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.1865 -5.8946e0 2.7400e-1 -9.8480e-1
26.00 2.4884 -5.6224e0 2.3353e0 -9.1696e-1
27.00 1.0214 -4.9593e0 1.9790e0 -6.3989e-1
28.00 0.2123 -5.0951e0 3.9227e0 -1.9130e-1
29.00 -0.0956 -4.2107e0 2.9475e0 1.0035e-1
30.00 -0.2962 -3.6553e0 2.9196e0 3.4472e-1
31.00 -0.5119 -3.3681e0 3.1444e0 6.6841e-1
32.00 -0.5360 -2.9155e0 2.9655e0 7.0911e-1
33.00 -0.5474 -2.5875e0 2.9026e0 7.2870e-1
34.00 -0.5178 -2.2710e0 2.7941e0 6.7837e-1
35.00 -0.4602 -1.9214e0 2.3613e0 5.8432e-1
36.00 -0.4340 -1.7136e0 2.3613e0 5.4342e-1
37.00 -0.3688 -1.4232e0 2.1086e0 4.4595e-1
38.00 -0.3080 -1.1478e0 1.7761e0 3.6072e-1
39.00 -0.2338 -8.9853e-1 1.5424e0 2.6340e-1
40.00 -0.1587 -6.9617e-1 1.4727e0 1.7200e-1
41.00 -0.0681 -4.2740e-1 9.0936e-1 7.0508e-2
42.00 0.0065 -2.3409e-1 6.0154e-1 -6.4944e-3
43.00 0.0538 -1.1520e-1 4.3698e-1 -5.2365e-2
44.00 0.0842 -2.8876e-2 2.9315e-1 -8.0761e-2
45.00 0.1064 4.1663e-2 1.5912e-1 -1.0093e-1
46.00 0.1179 8.0240e-2 9.2439e-2 -1.1122e-1
47.00 0.1243 1.0653e-1 4.0813e-2 -1.1685e-1
48.00 0.1244 1.1653e-1 1.6748e-2 -1.1695e-1
49.00 0.1200 1.1650e-1 7.0859e-3 -1.1307e-1
50.00 0.1123 1.1042e-1 3.7069e-3 -1.0623e-1
51.00 0.1031 1.0191e-1 2.4086e-3 -9.7990e-2
52.00 0.0935 9.2595e-2 1.7817e-3 -8.9264e-2
53.00 0.0841 8.3403e-2 1.3955e-3 -8.0673e-2
54.00 0.0753 7.4718e-2 1.1075e-3 -7.2518e-2
55.00 0.0672 6.6710e-2 8.7865e-4 -6.4951e-2
56.00 0.0598 5.9429e-2 6.9415e-4 -5.8030e-2
57.00 0.0531 5.2869e-2 5.4589e-4 -5.1758e-2
58.00 0.0472 4.6990e-2 4.2770e-4 -4.6110e-2
59.00 0.0419 4.1743e-2 3.3420e-4 -4.1045e-2
60.00 0.0372 3.7069e-2 2.6066e-4 -3.6517e-2
61.00 0.0330 3.2914e-2 2.0309e-4 -3.2477e-2
62.00 0.0293 2.9223e-2 1.5815e-4 -2.8877e-2
63.00 0.0260 2.5946e-2 1.2316e-4 -2.5673e-2
64.00 0.0231 2.3038e-2 9.5929e-5 -2.2822e-2
65.00 0.0205 2.0459e-2 7.4759e-5 -2.0288e-2
66.00 0.0182 1.8170e-2 5.8294e-5 -1.8034e-2
67.00 0.0162 1.6139e-2 4.5483e-5 -1.6032e-2
68.00 0.0144 1.4337e-2 3.5509e-5 -1.4252e-2
69.00 0.0128 1.2738e-2 2.7740e-5 -1.2671e-2
70.00 0.0113 1.1319e-2 2.1684e-5 -1.1266e-2
71.00 0.0101 1.0059e-2 1.6960e-5 -1.0017e-2
72.00 0.0089 8.9414e-3 1.3273e-5 -8.9082e-3
73.00 0.0080 7.9489e-3 1.0394e-5 -7.9225e-3
74.00 0.0071 7.0675e-3 8.1442e-6 -7.0467e-3
75.00 0.0063 6.2849e-3 6.3849e-6 -6.2683e-3
76.00 0.0056 5.5897e-3 5.0084e-6 -5.5766e-3
77.00 0.0050 4.9722e-3 3.9308e-6 -4.9618e-3
78.00 0.0044 4.4235e-3 3.0867e-6 -4.4153e-3
79.00 0.0039 3.9360e-3 2.4252e-6 -3.9294e-3
80.00 0.0035 3.5026e-3 1.9064e-6 -3.4975e-3
81.00 0.0031 3.1175e-3 1.4993e-6 -3.1134e-3
82.00 0.0028 2.7751e-3 1.1797e-6 -2.7718e-3
83.00 0.0025 2.4706e-3 9.2866e-7 -2.4680e-3
84.00 0.0022 2.1998e-3 7.3138e-7 -2.1978e-3
85.00 0.0020 1.9590e-3 5.7627e-7 -1.9574e-3
86.00 0.0017 1.7448e-3 4.5425e-7 -1.7435e-3
87.00 0.0016 1.5542e-3 3.5822e-7 -1.5531e-3
88.00 0.0014 1.3845e-3 2.8261e-7 -1.3837e-3
89.00 0.0012 1.2336e-3 2.2304e-7 -1.2329e-3
90.00 0.0011 1.0992e-3 1.7610e-7 -1.0987e-3
91.00 0.0010 9.7964e-4 1.3910e-7 -9.7923e-4
92.00 0.0009 8.7315e-4 1.0991e-7 -8.7282e-4
93.00 0.0008 7.7832e-4 8.6873e-8 -7.7806e-4
94.00 0.0007 6.9388e-4 6.8691e-8 -6.9367e-4
95.00 0.0006 6.1866e-4 5.4334e-8 -6.1850e-4
96.00 0.0006 5.5166e-4 4.2991e-8 -5.5153e-4
97.00 0.0005 4.9196e-4 3.4028e-8 -4.9186e-4
98.00 0.0004 4.3877e-4 2.6942e-8 -4.3869e-4
99.00 0.0004 3.9138e-4 2.1338e-8 -3.9131e-4
