# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.4787 -5.6028e0 2.7356e-1 -9.8865e-1
26.00 2.7509 -5.3583e0 2.3027e0 -9.3613e-1
27.00 1.2682 -4.7135e0 1.9513e0 -7.1866e-1
28.00 0.4420 -4.8900e0 3.9851e0 -3.5725e-1
29.00 0.1265 -4.0080e0 3.0036e0 -1.1882e-1
30.00 -0.0856 -3.4638e0 2.9528e0 8.9348e-2
31.00 -0.3064 -3.1737e0 3.1596e0 3.5858e-1
32.00 -0.3419 -2.7336e0 2.9795e0 4.0758e-1
33.00 -0.3642 -2.4156e0 2.9087e0 4.3942e-1
34.00 -0.3490 -2.1268e0 2.8751e0 4.1760e-1
35.00 -0.2993 -1.7754e0 2.3880e0 3.4895e-1
36.00 -0.2836 -1.5780e0 2.3935e0 3.2793e-1
37.00 -0.2280 -1.2973e0 2.1480e0 2.5609e-1
38.00 -0.1754 -1.0275e0 1.8071e0 1.9170e-1
39.00 -0.1090 -7.8461e-1 1.5717e0 1.1518e-1
40.00 -0.0421 -5.9285e-1 1.5282e0 4.2949e-2
41.00 0.0420 -3.2548e-1 9.3503e-1 -4.1138e-2
42.00 0.1099 -1.3667e-1 6.1852e-1 -1.0404e-1
43.00 0.1502 -2.3336e-2 4.4972e-1 -1.3949e-1
44.00 0.1740 5.7426e-2 3.0216e-1 -1.5970e-1
45.00 0.1898 1.2257e-1 1.6504e-1 -1.7291e-1
46.00 0.1953 1.5576e-1 9.6310e-2 -1.7741e-1
47.00 0.1959 1.7676e-1 4.3404e-2 -1.7790e-1
48.00 0.1905 1.8147e-1 1.8916e-2 -1.7344e-1
49.00 0.1809 1.7635e-1 9.0452e-3 -1.6546e-1
50.00 0.1683 1.6552e-1 5.4264e-3 -1.5490e-1
51.00 0.1546 1.5259e-1 3.8889e-3 -1.4322e-1
52.00 0.1407 1.3918e-1 3.0335e-3 -1.3128e-1
53.00 0.1274 1.2618e-1 2.4432e-3 -1.1965e-1
54.00 0.1150 1.1398e-1 1.9779e-3 -1.0862e-1
55.00 0.1035 1.0271e-1 1.5978e-3 -9.8344e-2
56.00 0.0931 9.2414e-2 1.2860e-3 -8.8869e-2
57.00 0.0836 8.3071e-2 1.0314e-3 -8.0197e-2
58.00 0.0750 7.4629e-2 8.2498e-4 -7.2300e-2
59.00 0.0674 6.7019e-2 6.5867e-4 -6.5135e-2
60.00 0.0604 6.0174e-2 5.2527e-4 -5.8649e-2
61.00 0.0542 5.4023e-2 4.1862e-4 -5.2790e-2
62.00 0.0487 4.8500e-2 3.3355e-4 -4.7503e-2
63.00 0.0437 4.3543e-2 2.6579e-4 -4.2737e-2
64.00 0.0392 3.9096e-2 2.1187e-4 -3.8444e-2
65.00 0.0352 3.5106e-2 1.6896e-4 -3.4579e-2
66.00 0.0316 3.1527e-2 1.3481e-4 -3.1100e-2
67.00 0.0284 2.8316e-2 1.0762e-4 -2.7971e-2
68.00 0.0255 2.5435e-2 8.5963e-5 -2.5156e-2
69.00 0.0229 2.2850e-2 6.8702e-5 -2.2625e-2
70.00 0.0206 2.0531e-2 5.4938e-5 -2.0349e-2
71.00 0.0185 1.8450e-2 4.3956e-5 -1.8302e-2
72.00 0.0166 1.6582e-2 3.5188e-5 -1.6463e-2
73.00 0.0149 1.4905e-2 2.8185e-5 -1.4809e-2
74.00 0.0134 1.3400e-2 2.2587e-5 -1.3322e-2
75.00 0.0121 1.2049e-2 1.8111e-5 -1.1985e-2
76.00 0.0108 1.0835e-2 1.4530e-5 -1.0784e-2
77.00 0.0098 9.7452e-3 1.1662e-5 -9.7036e-3
78.00 0.0088 8.7661e-3 9.3654e-6 -8.7325e-3
79.00 0.0079 7.8866e-3 7.5247e-6 -7.8593e-3
80.00 0.0071 7.0962e-3 6.0486e-6 -7.0741e-3
81.00 0.0064 6.3860e-3 4.8644e-6 -6.3681e-3
82.00 0.0057 5.7476e-3 3.9138e-6 -5.7331e-3
83.00 0.0052 5.1738e-3 3.1504e-6 -5.1620e-3
84.00 0.0047 4.6578e-3 2.5370e-6 -4.6483e-3
85.00 0.0042 4.1939e-3 2.0439e-6 -4.1861e-3
86.00 0.0038 3.7766e-3 1.6474e-6 -3.7703e-3
87.00 0.0034 3.4013e-3 1.3283e-6 -3.3962e-3
88.00 0.0031 3.0637e-3 1.0714e-6 -3.0596e-3
89.00 0.0028 2.7599e-3 8.6460e-7 -2.7566e-3
90.00 0.0025 2.4866e-3 6.9795e-7 -2.4838e-3
91.00 0.0022 2.2406e-3 5.6363e-7 -2.2383e-3
92.00 0.0020 2.0191e-3 4.5533e-7 -2.0173e-3
93.00 0.0018 1.8198e-3 3.6796e-7 -1.8183e-3
94.00 0.0016 1.6403e-3 2.9746e-7 -1.6391e-3
95.00 0.0015 1.4787e-3 2.4055e-7 -1.4777e-3
96.00 0.0013 1.3331e-3 1.9459e-7 -1.3323e-3
97.00 0.0012 1.2020e-3 1.5747e-7 -1.2014e-3
98.00 0.0011 1.0839e-3 1.2746e-7 -1.0834e-3
99.00 0.0010 9.7754e-4 1.0321e-7 -9.7711e-4
