# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.4985 -9.3975e0 1.9528e-1 -9.1779e-1
33.00 -0.1094 -1.0167e1 2.3631e0 1.1556e-1
34.00 -0.7537 -9.6687e0 3.0232e0 1.1248e0
35.00 -1.6580 -1.1547e1 7.0942e0 4.2488e0
36.00 -0.7857 -7.1784e0 3.5721e0 1.1940e0
37.00 -0.7509 -6.2086e0 3.8143e0 1.1190e0
38.00 -0.8063 -5.5245e0 4.5542e0 1.2395e0
39.00 -0.8964 -4.6536e0 3.1384e0 1.4508e0
40.00 -1.0157 -4.2038e0 3.4819e0 1.7614e0
41.00 -1.1780 -3.9499e0 3.8191e0 2.2478e0
42.00 -1.1400 -3.2448e0 2.9714e0 2.1268e0
43.00 -1.0865 -2.7723e0 2.8934e0 1.9640e0
44.00 -0.9656 -2.2568e0 2.3795e0 1.6263e0
45.00 -0.8006 -1.7609e0 1.9080e0 1.2268e0
46.00 -0.6067 -1.2826e0 1.4422e0 8.3437e-1
47.00 -0.4320 -8.9973e-1 1.0876e0 5.4030e-1
48.00 -0.2833 -5.8633e-1 7.1374e-1 3.2753e-1
49.00 -0.1651 -3.5820e-1 4.5142e-1 1.7956e-1
50.00 -0.0793 -1.9975e-1 2.6699e-1 8.2580e-2
51.00 -0.0220 -1.0021e-1 1.6636e-1 2.2228e-2
52.00 0.0133 -4.1111e-2 1.1247e-1 -1.3174e-2
53.00 0.0338 -5.5559e-3 7.9726e-2 -3.3230e-2
54.00 0.0448 1.5287e-2 5.8575e-2 -4.3786e-2
55.00 0.0495 2.6859e-2 4.4437e-2 -4.8308e-2
56.00 0.0505 3.2857e-2 3.4278e-2 -4.9205e-2
57.00 0.0492 3.5386e-2 2.6754e-2 -4.7977e-2
58.00 0.0467 3.5851e-2 2.1010e-2 -4.5605e-2
59.00 0.0436 3.5086e-2 1.6555e-2 -4.2672e-2
