# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 2.3012 -9.5922e0 1.9804e-1 -8.9986e-1
33.00 -0.3440 -1.0591e1 2.5316e0 4.1057e-1
34.00 -0.7159 -9.4712e0 2.5962e0 1.0460e0
35.00 -1.8560 -1.1974e1 6.7579e0 5.3978e0
36.00 -0.8709 -7.3879e0 3.7362e0 1.3890e0
37.00 -0.8280 -6.4364e0 4.1420e0 1.2887e0
38.00 -0.8691 -5.7378e0 4.9158e0 1.3847e0
39.00 -0.9476 -4.8113e0 3.3310e0 1.5796e0
40.00 -1.0706 -4.3873e0 3.7928e0 1.9170e0
41.00 -1.2438 -4.1662e0 4.1643e0 2.4688e0
42.00 -1.2041 -3.4597e0 3.3603e0 2.3338e0
43.00 -1.1442 -2.9770e0 3.3103e0 2.1399e0
44.00 -1.0185 -2.4504e0 2.7658e0 1.7691e0
45.00 -0.8459 -1.9355e0 2.2662e0 1.3301e0
46.00 -0.6415 -1.4314e0 1.7754e0 8.9930e-1
47.00 -0.4572 -1.0245e0 1.3953e0 5.7963e-1
48.00 -0.2977 -6.7728e-1 9.4054e-1 3.4676e-1
49.00 -0.1707 -4.2124e-1 6.1175e-1 1.8609e-1
50.00 -0.0777 -2.4008e-1 3.7194e-1 8.0797e-2
51.00 -0.0154 -1.2523e-1 2.3902e-1 1.5470e-2
52.00 0.0232 -5.5893e-2 1.6595e-1 -2.2955e-2
53.00 0.0461 -1.2996e-2 1.2055e-1 -4.5034e-2
54.00 0.0586 1.3204e-2 9.0628e-2 -5.6946e-2
55.00 0.0644 2.8652e-2 7.0204e-2 -6.2330e-2
56.00 0.0659 3.7500e-2 5.5287e-2 -6.3737e-2
57.00 0.0648 4.2101e-2 4.4059e-2 -6.2742e-2
58.00 0.0623 4.4053e-2 3.5349e-2 -6.0389e-2
59.00 0.0590 4.4323e-2 2.8479e-2 -5.7307e-2
