# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
32.00 1.7211 -1.0219e1 2.5806e0 -8.2114e-1
33.00 0.8137 -8.9411e0 2.0170e0 -5.5677e-1
34.00 -0.2722 -9.2592e0 3.9800e0 3.1281e-1
35.00 -0.7784 -9.1030e0 7.5165e0 1.1780e0
36.00 -0.6868 -6.9132e0 3.5980e0 9.8740e-1
37.00 -0.8007 -6.1283e0 4.1036e0 1.2270e0
38.00 -0.9108 -5.4547e0 4.1707e0 1.4864e0
39.00 -1.0677 -4.9568e0 4.3438e0 1.9088e0
40.00 -1.1785 -4.4042e0 3.9846e0 2.2496e0
41.00 -1.2211 -3.8782e0 3.9717e0 2.3911e0
42.00 -1.2148 -3.3152e0 3.3091e0 2.3695e0
43.00 -1.1344 -2.7553e0 2.7596e0 2.1093e0
44.00 -0.9796 -2.1839e0 2.2565e0 1.6634e0
45.00 -0.7858 -1.6468e0 1.7551e0 1.1942e0
46.00 -0.5918 -1.1962e0 1.3523e0 8.0723e-1
47.00 -0.4159 -8.1851e-1 9.4931e-1 5.1573e-1
48.00 -0.2696 -5.2093e-1 5.9275e-1 3.0939e-1
49.00 -0.1569 -3.0786e-1 3.4333e-1 1.6983e-1
50.00 -0.0765 -1.6785e-1 1.9888e-1 7.9504e-2
51.00 -0.0237 -8.1730e-2 1.2212e-1 2.3954e-2
52.00 0.0084 -3.0652e-2 8.0146e-2 -8.3550e-3
53.00 0.0267 -8.9994e-4 5.5504e-2 -2.6336e-2
54.00 0.0361 1.5856e-2 4.0153e-2 -3.5501e-2
55.00 0.0400 2.4772e-2 2.9871e-2 -3.9257e-2
56.00 0.0405 2.8877e-2 2.2657e-2 -3.9722e-2
57.00 0.0391 3.0150e-2 1.7372e-2 -3.8348e-2
58.00 0.0367 2.9799e-2 1.3387e-2 -3.6030e-2
59.00 0.0339 2.8538e-2 1.0342e-2 -3.3290e-2
