# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 5.1569 -4.9827e0 3.8618e-1 -9.9424e-1
26.00 3.3444 -4.7752e0 2.3422e0 -9.6472e-1
27.00 1.8188 -4.1138e0 1.8831e0 -8.3779e-1
28.00 0.9593 -4.2718e0 3.8687e0 -6.1685e-1
29.00 0.5807 -3.4564e0 2.8299e0 -4.4051e-1
30.00 0.3472 -2.8868e0 2.6110e0 -2.9335e-1
31.00 0.0933 -2.6383e0 2.8643e0 -8.9081e-2
32.00 0.0327 -2.1816e0 2.4893e0 -3.2154e-2
33.00 -0.0170 -1.8879e0 2.4571e0 1.7117e-2
34.00 -0.0290 -1.5896e0 2.1769e0 2.9456e-2
35.00 -0.0234 -1.3359e0 1.9692e0 2.3647e-2
36.00 -0.0306 -1.1491e0 1.9057e0 3.1091e-2
37.00 -0.0056 -9.0456e-1 1.6119e0 5.6313e-3
38.00 0.0123 -7.0251e-1 1.3914e0 -1.2245e-2
39.00 0.0519 -4.9253e-1 1.1312e0 -5.0597e-2
40.00 0.0987 -2.9887e-1 8.5658e-1 -9.4014e-2
41.00 0.1449 -1.3876e-1 6.4001e-1 -1.3493e-1
42.00 0.1876 -1.6343e-3 4.1931e-1 -1.7106e-1
43.00 0.2087 7.5693e-2 3.0600e-1 -1.8833e-1
44.00 0.2172 1.2711e-1 2.0986e-1 -1.9523e-1
45.00 0.2208 1.6849e-1 1.1543e-1 -1.9813e-1
46.00 0.2174 1.8635e-1 6.8370e-2 -1.9536e-1
47.00 0.2111 1.9548e-1 3.2672e-2 -1.9027e-1
48.00 0.2009 1.9322e-1 1.5296e-2 -1.8204e-1
49.00 0.1882 1.8399e-1 8.1676e-3 -1.7155e-1
50.00 0.1736 1.7081e-1 5.3295e-3 -1.5934e-1
51.00 0.1584 1.5639e-1 3.9965e-3 -1.4653e-1
52.00 0.1436 1.4200e-1 3.1640e-3 -1.3378e-1
53.00 0.1296 1.2831e-1 2.5534e-3 -1.2157e-1
54.00 0.1166 1.1559e-1 2.0615e-3 -1.1010e-1
55.00 0.1048 1.0395e-1 1.6583e-3 -9.9489e-2
56.00 0.0940 9.3369e-2 1.3287e-3 -8.9760e-2
57.00 0.0844 8.3811e-2 1.0612e-3 -8.0892e-2
58.00 0.0756 7.5203e-2 8.4568e-4 -7.2843e-2
59.00 0.0678 6.7467e-2 6.7299e-4 -6.5560e-2
60.00 0.0608 6.0523e-2 5.3517e-4 -5.8983e-2
61.00 0.0545 5.4296e-2 4.2546e-4 -5.3052e-2
62.00 0.0489 4.8714e-2 3.3828e-4 -4.7709e-2
63.00 0.0438 4.3711e-2 2.6907e-4 -4.2899e-2
64.00 0.0393 3.9228e-2 2.1414e-4 -3.8572e-2
65.00 0.0353 3.5210e-2 1.7054e-4 -3.4680e-2
66.00 0.0317 3.1609e-2 1.3591e-4 -3.1180e-2
67.00 0.0284 2.8380e-2 1.0839e-4 -2.8034e-2
68.00 0.0255 2.5486e-2 8.6504e-5 -2.5206e-2
69.00 0.0229 2.2891e-2 6.9081e-5 -2.2665e-2
70.00 0.0206 2.0563e-2 5.5204e-5 -2.0380e-2
71.00 0.0185 1.8475e-2 4.4143e-5 -1.8327e-2
72.00 0.0166 1.6602e-2 3.5320e-5 -1.6483e-2
73.00 0.0149 1.4921e-2 2.8278e-5 -1.4825e-2
74.00 0.0134 1.3413e-2 2.2653e-5 -1.3335e-2
75.00 0.0121 1.2059e-2 1.8158e-5 -1.1995e-2
76.00 0.0109 1.0843e-2 1.4563e-5 -1.0792e-2
77.00 0.0098 9.7517e-3 1.1686e-5 -9.7101e-3
78.00 0.0088 8.7713e-3 9.3821e-6 -8.7376e-3
79.00 0.0079 7.8907e-3 7.5365e-6 -7.8634e-3
80.00 0.0071 7.0995e-3 6.0571e-6 -7.0774e-3
81.00 0.0064 6.3886e-3 4.8704e-6 -6.3707e-3
82.00 0.0058 5.7497e-3 3.9181e-6 -5.7352e-3
83.00 0.0052 5.1755e-3 3.1535e-6 -5.1637e-3
84.00 0.0047 4.6592e-3 2.5392e-6 -4.6496e-3
85.00 0.0042 4.1950e-3 2.0455e-6 -4.1872e-3
86.00 0.0038 3.7775e-3 1.6485e-6 -3.7712e-3
87.00 0.0034 3.4020e-3 1.3291e-6 -3.3969e-3
88.00 0.0031 3.0643e-3 1.0720e-6 -3.0601e-3
89.00 0.0028 2.7604e-3 8.6502e-7 -2.7570e-3
90.00 0.0025 2.4869e-3 6.9825e-7 -2.4842e-3
91.00 0.0022 2.2409e-3 5.6385e-7 -2.2386e-3
92.00 0.0020 2.0194e-3 4.5548e-7 -2.0175e-3
93.00 0.0018 1.8200e-3 3.6808e-7 -1.8185e-3
94.00 0.0016 1.6404e-3 2.9754e-7 -1.6392e-3
95.00 0.0015 1.4788e-3 2.4061e-7 -1.4778e-3
96.00 0.0013 1.3332e-3 1.9464e-7 -1.3324e-3
97.00 0.0012 1.2021e-3 1.5750e-7 -1.2015e-3
98.00 0.0011 1.0840e-3 1.2748e-7 -1.0835e-3
99.00 0.0010 9.7759e-4 1.0322e-7 -9.7717e-4
