# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 6.5966 -3.5372e0 3.7779e-1 -9.9863e-1
26.00 4.6553 -3.4573e0 2.2365e0 -9.9049e-1
27.00 3.0477 -2.8839e0 1.7830e0 -9.5253e-1
28.00 2.1234 -3.1342e0 3.8777e0 -8.8038e-1
29.00 1.6846 -2.3975e0 2.9418e0 -8.1449e-1
30.00 1.3939 -1.8856e0 2.6703e0 -7.5190e-1
31.00 1.1047 -1.6581e0 2.9149e0 -6.6869e-1
32.00 0.9962 -1.2401e0 2.4854e0 -6.3071e-1
33.00 0.8996 -9.8525e-1 2.4142e0 -5.9326e-1
34.00 0.8319 -7.6524e-1 2.2582e0 -5.6479e-1
35.00 0.7924 -5.4838e-1 2.0042e0 -5.4725e-1
36.00 0.7379 -4.0908e-1 1.9535e0 -5.2187e-1
37.00 0.7178 -2.0962e-1 1.6634e0 -5.1217e-1
38.00 0.6958 -4.1268e-2 1.4202e0 -5.0131e-1
39.00 0.6968 1.3230e-1 1.1596e0 -5.0180e-1
40.00 0.7068 2.9284e-1 8.7592e-1 -5.0679e-1
41.00 0.7159 4.1388e-1 6.7660e-1 -5.1125e-1
42.00 0.7238 5.1860e-1 4.4743e-1 -5.1511e-1
43.00 0.7112 5.6283e-1 3.3572e-1 -5.0892e-1
44.00 0.6880 5.8416e-1 2.3544e-1 -4.9742e-1
45.00 0.6618 5.9718e-1 1.3801e-1 -4.8406e-1
46.00 0.6302 5.8835e-1 8.7914e-2 -4.6749e-1
47.00 0.5972 5.7213e-1 4.9936e-2 -4.4968e-1
48.00 0.5619 5.4568e-1 3.1071e-2 -4.2990e-1
49.00 0.5254 5.1358e-1 2.2522e-2 -4.0870e-1
50.00 0.4885 4.7904e-1 1.8045e-2 -3.8648e-1
51.00 0.4525 4.4462e-1 1.5096e-2 -3.6398e-1
52.00 0.4181 4.1146e-1 1.2765e-2 -3.4172e-1
53.00 0.3858 3.8015e-1 1.0815e-2 -3.2008e-1
54.00 0.3556 3.5087e-1 9.1471e-3 -2.9926e-1
55.00 0.3277 3.2367e-1 7.7214e-3 -2.7940e-1
56.00 0.3018 2.9849e-1 6.5079e-3 -2.6055e-1
57.00 0.2780 2.7522e-1 5.4793e-3 -2.4273e-1
58.00 0.2561 2.5375e-1 4.6107e-3 -2.2595e-1
59.00 0.2360 2.3397e-1 3.8788e-3 -2.1019e-1
60.00 0.2174 2.1574e-1 3.2633e-3 -1.9540e-1
61.00 0.2004 1.9896e-1 2.7460e-3 -1.8156e-1
62.00 0.1847 1.8350e-1 2.3115e-3 -1.6863e-1
63.00 0.1703 1.6927e-1 1.9466e-3 -1.5655e-1
64.00 0.1570 1.5616e-1 1.6402e-3 -1.4529e-1
65.00 0.1448 1.4409e-1 1.3827e-3 -1.3479e-1
66.00 0.1336 1.3297e-1 1.1662e-3 -1.2502e-1
67.00 0.1232 1.2273e-1 9.8422e-4 -1.1594e-1
68.00 0.1137 1.1329e-1 8.3105e-4 -1.0748e-1
69.00 0.1050 1.0460e-1 7.0210e-4 -9.9631e-2
70.00 0.0969 9.6584e-2 5.9346e-4 -9.2338e-2
71.00 0.0895 8.9199e-2 5.0190e-4 -8.5568e-2
72.00 0.0826 8.2391e-2 4.2468e-4 -7.9285e-2
73.00 0.0763 7.6114e-2 3.5952e-4 -7.3457e-2
74.00 0.0705 7.0326e-2 3.0451e-4 -6.8053e-2
75.00 0.0651 6.4988e-2 2.5805e-4 -6.3043e-2
76.00 0.0602 6.0063e-2 2.1878e-4 -5.8399e-2
77.00 0.0556 5.5520e-2 1.8557e-4 -5.4095e-2
78.00 0.0514 5.1328e-2 1.5747e-4 -5.0108e-2
79.00 0.0475 4.7459e-2 1.3369e-4 -4.6414e-2
80.00 0.0439 4.3887e-2 1.1355e-4 -4.2993e-2
81.00 0.0406 4.0590e-2 9.6489e-5 -3.9824e-2
82.00 0.0376 3.7546e-2 8.2025e-5 -3.6889e-2
83.00 0.0348 3.4735e-2 6.9757e-5 -3.4172e-2
84.00 0.0322 3.2138e-2 5.9349e-5 -3.1656e-2
85.00 0.0298 2.9739e-2 5.0514e-5 -2.9326e-2
86.00 0.0275 2.7523e-2 4.3010e-5 -2.7169e-2
87.00 0.0255 2.5475e-2 3.6636e-5 -2.5171e-2
88.00 0.0236 2.3582e-2 3.1217e-5 -2.3322e-2
89.00 0.0218 2.1833e-2 2.6610e-5 -2.1609e-2
90.00 0.0202 2.0216e-2 2.2691e-5 -2.0024e-2
91.00 0.0187 1.8720e-2 1.9356e-5 -1.8556e-2
92.00 0.0173 1.7338e-2 1.6517e-5 -1.7196e-2
93.00 0.0161 1.6059e-2 1.4098e-5 -1.5938e-2
94.00 0.0149 1.4876e-2 1.2038e-5 -1.4772e-2
95.00 0.0138 1.3782e-2 1.0283e-5 -1.3692e-2
96.00 0.0128 1.2769e-2 8.7856e-6 -1.2692e-2
97.00 0.0118 1.1832e-2 7.5088e-6 -1.1766e-2
98.00 0.0110 1.0966e-2 6.4196e-6 -1.0909e-2
99.00 0.0102 1.0163e-2 5.4899e-6 -1.0114e-2
