# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.7835 -5.3559e0 3.8440e-1 -9.9163e-1
26.00 3.0128 -5.1093e0 2.3759e0 -9.5085e-1
27.00 1.5098 -4.4247e0 1.9146e0 -7.7905e-1
28.00 0.6702 -4.5497e0 3.8416e0 -4.8842e-1
29.00 0.3076 -3.7170e0 2.7889e0 -2.6482e-1
30.00 0.0898 -3.1345e0 2.6012e0 -8.5864e-2
31.00 -0.1550 -2.8835e0 2.8653e0 1.6765e-1
32.00 -0.2011 -2.4136e0 2.4997e0 2.2280e-1
33.00 -0.2367 -2.1075e0 2.4769e0 2.6711e-1
34.00 -0.2327 -1.7867e0 2.1620e0 2.6195e-1
35.00 -0.2143 -1.5234e0 1.9695e0 2.3906e-1
36.00 -0.2086 -1.3246e0 1.9063e0 2.3193e-1
37.00 -0.1710 -1.0672e0 1.6101e0 1.8647e-1
38.00 -0.1419 -8.5532e-1 1.3941e0 1.5246e-1
39.00 -0.0916 -6.3496e-1 1.1338e0 9.5899e-2
40.00 -0.0346 -4.3153e-1 8.6009e-1 3.5158e-2
41.00 0.0218 -2.6049e-1 6.3885e-1 -2.1578e-2
42.00 0.0740 -1.1395e-1 4.1871e-1 -7.1295e-2
43.00 0.1040 -2.7504e-2 3.0457e-1 -9.8801e-2
44.00 0.1209 3.2215e-2 2.0842e-1 -1.1390e-1
45.00 0.1323 8.1360e-2 1.1357e-1 -1.2394e-1
46.00 0.1361 1.0633e-1 6.6511e-2 -1.2721e-1
47.00 0.1364 1.2207e-1 3.0718e-2 -1.2754e-1
48.00 0.1325 1.2596e-1 1.3236e-2 -1.2412e-1
49.00 0.1255 1.2240e-1 6.1494e-3 -1.1796e-1
50.00 0.1162 1.1435e-1 3.5181e-3 -1.0968e-1
51.00 0.1059 1.0465e-1 2.4326e-3 -1.0048e-1
52.00 0.0955 9.4568e-2 1.8453e-3 -9.1090e-2
53.00 0.0856 8.4847e-2 1.4551e-3 -8.2029e-2
54.00 0.0764 7.5790e-2 1.1537e-3 -7.3533e-2
55.00 0.0680 6.7511e-2 9.1177e-4 -6.5716e-2
56.00 0.0604 6.0032e-2 7.1712e-4 -5.8609e-2
57.00 0.0536 5.3325e-2 5.6153e-4 -5.2198e-2
58.00 0.0476 4.7336e-2 4.3824e-4 -4.6445e-2
59.00 0.0422 4.2006e-2 3.4126e-4 -4.1301e-2
60.00 0.0374 3.7270e-2 2.6539e-4 -3.6713e-2
61.00 0.0332 3.3067e-2 2.0625e-4 -3.2627e-2
62.00 0.0294 2.9340e-2 1.6026e-4 -2.8992e-2
63.00 0.0261 2.6036e-2 1.2457e-4 -2.5761e-2
64.00 0.0232 2.3108e-2 9.6878e-5 -2.2890e-2
65.00 0.0205 2.0512e-2 7.5397e-5 -2.0340e-2
66.00 0.0182 1.8211e-2 5.8724e-5 -1.8075e-2
67.00 0.0162 1.6171e-2 4.5773e-5 -1.6063e-2
68.00 0.0144 1.4361e-2 3.5706e-5 -1.4276e-2
69.00 0.0128 1.2757e-2 2.7873e-5 -1.2690e-2
70.00 0.0113 1.1334e-2 2.1774e-5 -1.1280e-2
71.00 0.0101 1.0071e-2 1.7022e-5 -1.0029e-2
72.00 0.0090 8.9503e-3 1.3315e-5 -8.9170e-3
73.00 0.0080 7.9557e-3 1.0423e-5 -7.9294e-3
74.00 0.0071 7.0729e-3 8.1637e-6 -7.0520e-3
75.00 0.0063 6.2890e-3 6.3983e-6 -6.2725e-3
76.00 0.0056 5.5929e-3 5.0176e-6 -5.5798e-3
77.00 0.0050 4.9747e-3 3.9371e-6 -4.9643e-3
78.00 0.0044 4.4255e-3 3.0911e-6 -4.4172e-3
79.00 0.0039 3.9375e-3 2.4282e-6 -3.9310e-3
80.00 0.0035 3.5039e-3 1.9084e-6 -3.4987e-3
81.00 0.0031 3.1184e-3 1.5007e-6 -3.1143e-3
82.00 0.0028 2.7758e-3 1.1807e-6 -2.7725e-3
83.00 0.0025 2.4712e-3 9.2933e-7 -2.4686e-3
84.00 0.0022 2.2003e-3 7.3185e-7 -2.1982e-3
85.00 0.0020 1.9594e-3 5.7659e-7 -1.9577e-3
86.00 0.0017 1.7450e-3 4.5448e-7 -1.7437e-3
87.00 0.0016 1.5544e-3 3.5838e-7 -1.5533e-3
88.00 0.0014 1.3847e-3 2.8272e-7 -1.3839e-3
89.00 0.0012 1.2337e-3 2.2312e-7 -1.2331e-3
90.00 0.0011 1.0993e-3 1.7616e-7 -1.0988e-3
91.00 0.0010 9.7972e-4 1.3913e-7 -9.7931e-4
92.00 0.0009 8.7321e-4 1.0993e-7 -8.7289e-4
93.00 0.0008 7.7838e-4 8.6891e-8 -7.7812e-4
94.00 0.0007 6.9392e-4 6.8704e-8 -6.9371e-4
95.00 0.0006 6.1869e-4 5.4342e-8 -6.1853e-4
96.00 0.0006 5.5168e-4 4.2998e-8 -5.5155e-4
97.00 0.0005 4.9198e-4 3.4032e-8 -4.9188e-4
98.00 0.0004 4.3879e-4 2.6945e-8 -4.3871e-4
99.00 0.0004 3.9139e-4 2.1340e-8 -3.9132e-4
