# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 5.8671 -5.5710e0 3.7114e-1 -9.9717e-1
26.00 4.9573 -4.7373e0 2.5587e0 -9.9297e-1
27.00 3.2314 -4.3264e0 3.6780e0 -9.6050e-1
28.00 2.2060 -4.5417e0 6.6003e0 -8.8986e-1
29.00 1.9863 -3.1400e0 5.5551e0 -8.6280e-1
30.00 1.7084 -2.1249e0 3.2929e0 -8.1884e-1
31.00 1.3367 -1.8936e0 3.3074e0 -7.3730e-1
32.00 1.0770 -1.8156e0 4.1867e0 -6.5937e-1
33.00 0.9181 -1.7271e0 5.0088e0 -6.0072e-1
34.00 0.8512 -1.1959e0 3.1564e0 -5.7308e-1
35.00 0.8023 -9.3538e-1 2.9171e0 -5.5170e-1
36.00 0.7400 -8.0099e-1 3.0393e0 -5.2287e-1
37.00 0.7324 -4.9041e-1 2.3309e0 -5.1926e-1
38.00 0.7127 -3.0144e-1 2.1612e0 -5.0967e-1
39.00 0.7248 -6.0113e-2 1.7279e0 -5.1556e-1
40.00 0.7477 1.5812e-1 1.3258e0 -5.2654e-1
41.00 0.7647 3.1862e-1 1.0664e0 -5.3452e-1
42.00 0.7827 4.6480e-1 7.5871e-1 -5.4283e-1
43.00 0.7787 5.4525e-1 5.6753e-1 -5.4102e-1
44.00 0.7584 5.9036e-1 4.0412e-1 -5.3158e-1
45.00 0.7364 6.2743e-1 2.4170e-1 -5.2115e-1
46.00 0.7075 6.3577e-1 1.4977e-1 -5.0713e-1
47.00 0.6737 6.2690e-1 8.9600e-2 -4.9017e-1
48.00 0.6361 6.0395e-1 5.7814e-2 -4.7064e-1
49.00 0.5960 5.7166e-1 4.3120e-2 -4.4897e-1
50.00 0.5550 5.3543e-1 3.5153e-2 -4.2594e-1
51.00 0.5149 4.9855e-1 2.9614e-2 -4.0242e-1
52.00 0.4765 4.6269e-1 2.5236e-2 -3.7904e-1
53.00 0.4402 4.2854e-1 2.1533e-2 -3.5612e-1
54.00 0.4063 3.9644e-1 1.8358e-2 -3.3391e-1
55.00 0.3748 3.6645e-1 1.5614e-2 -3.1259e-1
56.00 0.3456 3.3857e-1 1.3259e-2 -2.9223e-1
57.00 0.3187 3.1271e-1 1.1243e-2 -2.7288e-1
58.00 0.2938 2.8878e-1 9.5242e-3 -2.5457e-1
59.00 0.2709 2.6664e-1 8.0621e-3 -2.3729e-1
60.00 0.2498 2.4619e-1 6.8210e-3 -2.2101e-1
61.00 0.2303 2.2731e-1 5.7692e-3 -2.0571e-1
62.00 0.2124 2.0988e-1 4.8787e-3 -1.9136e-1
63.00 0.1959 1.9379e-1 4.1255e-3 -1.7792e-1
64.00 0.1807 1.7894e-1 3.4888e-3 -1.6535e-1
65.00 0.1668 1.6525e-1 2.9507e-3 -1.5360e-1
66.00 0.1539 1.5261e-1 2.4961e-3 -1.4263e-1
67.00 0.1420 1.4095e-1 2.1119e-3 -1.3240e-1
68.00 0.1311 1.3019e-1 1.7874e-3 -1.2288e-1
69.00 0.1210 1.2027e-1 1.5131e-3 -1.1400e-1
70.00 0.1118 1.1111e-1 1.2814e-3 -1.0575e-1
71.00 0.1032 1.0267e-1 1.0854e-3 -9.8070e-2
72.00 0.0953 9.4872e-2 9.1975e-4 -9.0934e-2
73.00 0.0881 8.7678e-2 7.7964e-4 -8.4306e-2
74.00 0.0814 8.1040e-2 6.6110e-4 -7.8151e-2
75.00 0.0752 7.4913e-2 5.6079e-4 -7.2438e-2
76.00 0.0695 6.9257e-2 4.7587e-4 -6.7137e-2
77.00 0.0642 6.4036e-2 4.0395e-4 -6.2219e-2
78.00 0.0594 5.9215e-2 3.4303e-4 -5.7659e-2
79.00 0.0549 5.4764e-2 2.9141e-4 -5.3430e-2
80.00 0.0508 5.0653e-2 2.4764e-4 -4.9510e-2
81.00 0.0470 4.6857e-2 2.1053e-4 -4.5877e-2
82.00 0.0434 4.3350e-2 1.7904e-4 -4.2510e-2
83.00 0.0402 4.0111e-2 1.5232e-4 -3.9391e-2
84.00 0.0372 3.7118e-2 1.2963e-4 -3.6500e-2
85.00 0.0344 3.4352e-2 1.1036e-4 -3.3822e-2
86.00 0.0318 3.1796e-2 9.3988e-5 -3.1341e-2
87.00 0.0295 2.9433e-2 8.0072e-5 -2.9043e-2
88.00 0.0273 2.7249e-2 6.8240e-5 -2.6915e-2
89.00 0.0253 2.5230e-2 5.8176e-5 -2.4943e-2
90.00 0.0234 2.3363e-2 4.9613e-5 -2.3117e-2
91.00 0.0217 2.1637e-2 4.2324e-5 -2.1425e-2
92.00 0.0201 2.0040e-2 3.6117e-5 -1.9859e-2
93.00 0.0186 1.8563e-2 3.0831e-5 -1.8407e-2
94.00 0.0172 1.7197e-2 2.6326e-5 -1.7063e-2
95.00 0.0159 1.5933e-2 2.2487e-5 -1.5818e-2
96.00 0.0148 1.4763e-2 1.9213e-5 -1.4664e-2
97.00 0.0137 1.3681e-2 1.6420e-5 -1.3596e-2
98.00 0.0127 1.2679e-2 1.4038e-5 -1.2606e-2
99.00 0.0118 1.1752e-2 1.2005e-5 -1.1689e-2
