# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 5.0171 -6.4190e0 3.6852e-1 -9.9338e-1
26.00 4.2148 -5.5125e0 2.6972e0 -9.8522e-1
27.00 2.5439 -4.9960e0 3.6865e0 -9.2144e-1
28.00 1.5548 -5.1411e0 6.5110e0 -7.8877e-1
29.00 1.3458 -3.7391e0 5.4525e0 -7.3968e-1
30.00 1.0991 -2.6929e0 3.2431e0 -6.6682e-1
31.00 0.7441 -2.4638e0 3.3329e0 -5.2482e-1
32.00 0.5158 -2.3146e0 3.9831e0 -4.0297e-1
33.00 0.3800 -2.2114e0 4.8506e0 -3.1611e-1
34.00 0.3380 -1.6683e0 3.0959e0 -2.8684e-1
35.00 0.3162 -1.3781e0 2.8413e0 -2.7110e-1
36.00 0.2810 -1.2113e0 2.9328e0 -2.4495e-1
37.00 0.2950 -8.8731e-1 2.2593e0 -2.5545e-1
38.00 0.2954 -6.8438e-1 2.1123e0 -2.5580e-1
39.00 0.3271 -4.2434e-1 1.6659e0 -2.7902e-1
40.00 0.3685 -1.9249e-1 1.2753e0 -3.0821e-1
41.00 0.4048 -1.1905e-2 1.0021e0 -3.3292e-1
42.00 0.4403 1.4767e-1 7.0511e-1 -3.5613e-1
43.00 0.4539 2.4347e-1 5.1652e-1 -3.6483e-1
44.00 0.4502 3.0193e-1 3.6357e-1 -3.6249e-1
45.00 0.4442 3.5196e-1 2.0961e-1 -3.5867e-1
46.00 0.4308 3.7327e-1 1.2379e-1 -3.5003e-1
47.00 0.4120 3.7726e-1 6.8427e-2 -3.3765e-1
48.00 0.3889 3.6734e-1 3.9324e-2 -3.2218e-1
49.00 0.3628 3.4789e-1 2.6521e-2 -3.0426e-1
50.00 0.3353 3.2402e-1 2.0313e-2 -2.8485e-1
51.00 0.3079 2.9891e-1 1.6444e-2 -2.6499e-1
52.00 0.2816 2.7429e-1 1.3603e-2 -2.4546e-1
53.00 0.2569 2.5086e-1 1.1298e-2 -2.2657e-1
54.00 0.2340 2.2896e-1 9.3788e-3 -2.0860e-1
55.00 0.2128 2.0870e-1 7.7570e-3 -1.9169e-1
56.00 0.1934 1.9008e-1 6.3993e-3 -1.7589e-1
57.00 0.1758 1.7302e-1 5.2681e-3 -1.6120e-1
58.00 0.1597 1.5744e-1 4.3301e-3 -1.4760e-1
59.00 0.1451 1.4323e-1 3.5550e-3 -1.3504e-1
60.00 0.1318 1.3029e-1 2.9165e-3 -1.2348e-1
61.00 0.1197 1.1851e-1 2.3915e-3 -1.1285e-1
62.00 0.1088 1.0779e-1 1.9605e-3 -1.0309e-1
63.00 0.0989 9.8042e-2 1.6071e-3 -9.4135e-2
64.00 0.0899 8.9181e-2 1.3175e-3 -8.5936e-2
65.00 0.0817 8.1126e-2 1.0802e-3 -7.8430e-2
66.00 0.0743 7.3804e-2 8.8593e-4 -7.1565e-2
67.00 0.0675 6.7149e-2 7.2679e-4 -6.5289e-2
68.00 0.0614 6.1100e-2 5.9643e-4 -5.9555e-2
69.00 0.0558 5.5601e-2 4.8962e-4 -5.4318e-2
70.00 0.0508 5.0603e-2 4.0209e-4 -4.9537e-2
71.00 0.0462 4.6059e-2 3.3034e-4 -4.5174e-2
72.00 0.0421 4.1928e-2 2.7149e-4 -4.1193e-2
73.00 0.0383 3.8172e-2 2.2323e-4 -3.7561e-2
74.00 0.0348 3.4757e-2 1.8361e-4 -3.4249e-2
75.00 0.0317 3.1652e-2 1.5109e-4 -3.1230e-2
76.00 0.0289 2.8827e-2 1.2439e-4 -2.8476e-2
77.00 0.0263 2.6258e-2 1.0244e-4 -2.5966e-2
78.00 0.0240 2.3921e-2 8.4404e-5 -2.3678e-2
79.00 0.0218 2.1795e-2 6.9571e-5 -2.1593e-2
80.00 0.0199 1.9860e-2 5.7369e-5 -1.9692e-2
81.00 0.0181 1.8099e-2 4.7326e-5 -1.7960e-2
82.00 0.0165 1.6496e-2 3.9057e-5 -1.6380e-2
83.00 0.0151 1.5038e-2 3.2246e-5 -1.4941e-2
84.00 0.0137 1.3710e-2 2.6633e-5 -1.3629e-2
85.00 0.0125 1.2500e-2 2.2005e-5 -1.2433e-2
86.00 0.0114 1.1399e-2 1.8189e-5 -1.1343e-2
87.00 0.0104 1.0396e-2 1.5040e-5 -1.0350e-2
88.00 0.0095 9.4824e-3 1.2440e-5 -9.4438e-3
89.00 0.0087 8.6501e-3 1.0294e-5 -8.6179e-3
90.00 0.0079 7.8917e-3 8.5212e-6 -7.8649e-3
91.00 0.0072 7.2007e-3 7.0560e-6 -7.1783e-3
92.00 0.0066 6.5708e-3 5.8448e-6 -6.5522e-3
93.00 0.0060 5.9968e-3 4.8431e-6 -5.9812e-3
94.00 0.0055 5.4735e-3 4.0144e-6 -5.4605e-3
95.00 0.0050 4.9963e-3 3.3286e-6 -4.9855e-3
96.00 0.0046 4.5613e-3 2.7608e-6 -4.5523e-3
97.00 0.0042 4.1645e-3 2.2905e-6 -4.1570e-3
98.00 0.0038 3.8027e-3 1.9010e-6 -3.7964e-3
99.00 0.0035 3.4726e-3 1.5781e-6 -3.4674e-3
