# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.7957 -6.6275e0 1.9632e0 -9.9173e-1
26.00 2.6598 -6.9032e0 4.3181e0 -9.3004e-1
27.00 1.6297 -5.9030e0 5.0581e0 -8.0401e-1
28.00 1.1560 -4.5465e0 4.0888e0 -6.8526e-1
29.00 0.7888 -3.8353e0 4.2637e0 -5.4560e-1
30.00 0.4189 -3.4978e0 4.3404e0 -3.4224e-1
31.00 0.2218 -3.1015e0 4.6659e0 -1.9895e-1
32.00 0.0801 -2.7342e0 4.1954e0 -7.7022e-2
33.00 -0.0050 -2.4757e0 4.2917e0 5.0058e-3
34.00 -0.0308 -2.1073e0 3.8221e0 3.1326e-2
35.00 -0.0129 -1.7233e0 3.2552e0 1.2947e-2
36.00 0.0083 -1.3849e0 2.6643e0 -8.2951e-3
37.00 0.0327 -1.1189e0 2.3619e0 -3.2214e-2
38.00 0.0748 -8.3089e-1 1.9110e0 -7.2051e-2
39.00 0.1212 -5.7095e-1 1.5258e0 -1.1411e-1
40.00 0.1716 -3.4215e-1 1.1789e0 -1.5770e-1
41.00 0.2218 -1.4878e-1 8.8151e-1 -1.9889e-1
42.00 0.2589 -1.0316e-2 6.6809e-1 -2.2811e-1
43.00 0.2844 1.0157e-1 4.4764e-1 -2.4755e-1
44.00 0.2947 1.7097e-1 3.0201e-1 -2.5524e-1
45.00 0.2942 2.1425e-1 1.9077e-1 -2.5487e-1
46.00 0.2881 2.4052e-1 1.0627e-1 -2.5034e-1
47.00 0.2777 2.5132e-1 5.3729e-2 -2.4249e-1
48.00 0.2629 2.4740e-1 2.9291e-2 -2.3117e-1
49.00 0.2449 2.3496e-1 1.8248e-2 -2.1722e-1
50.00 0.2251 2.1797e-1 1.3193e-2 -2.0158e-1
51.00 0.2052 1.9966e-1 1.0318e-2 -1.8554e-1
52.00 0.1860 1.8151e-1 8.3227e-3 -1.6970e-1
53.00 0.1679 1.6426e-1 6.7504e-3 -1.5452e-1
54.00 0.1511 1.4824e-1 5.4657e-3 -1.4027e-1
55.00 0.1359 1.3355e-1 4.4112e-3 -1.2704e-1
56.00 0.1220 1.2017e-1 3.5491e-3 -1.1487e-1
57.00 0.1095 1.0805e-1 2.8482e-3 -1.0375e-1
58.00 0.0983 9.7103e-2 2.2813e-3 -9.3609e-2
59.00 0.0882 8.7238e-2 1.8247e-3 -8.4403e-2
60.00 0.0791 7.8360e-2 1.4582e-3 -7.6062e-2
61.00 0.0710 7.0379e-2 1.1646e-3 -6.8516e-2
62.00 0.0637 6.3209e-2 9.2984e-4 -6.1698e-2
63.00 0.0571 5.6770e-2 7.4238e-4 -5.5546e-2
64.00 0.0513 5.0988e-2 5.9277e-4 -4.9997e-2
65.00 0.0460 4.5799e-2 4.7343e-4 -4.4995e-2
66.00 0.0413 4.1141e-2 3.7823e-4 -4.0490e-2
67.00 0.0371 3.6960e-2 3.0229e-4 -3.6433e-2
68.00 0.0333 3.3207e-2 2.4170e-4 -3.2780e-2
69.00 0.0299 2.9839e-2 1.9333e-4 -2.9493e-2
70.00 0.0269 2.6815e-2 1.5471e-4 -2.6535e-2
71.00 0.0242 2.4101e-2 1.2386e-4 -2.3874e-2
72.00 0.0217 2.1664e-2 9.9208e-5 -2.1480e-2
73.00 0.0195 1.9477e-2 7.9500e-5 -1.9327e-2
74.00 0.0175 1.7512e-2 6.3737e-5 -1.7391e-2
75.00 0.0158 1.5747e-2 5.1123e-5 -1.5649e-2
76.00 0.0142 1.4163e-2 4.1025e-5 -1.4083e-2
77.00 0.0128 1.2739e-2 3.2937e-5 -1.2675e-2
78.00 0.0115 1.1460e-2 2.6455e-5 -1.1408e-2
79.00 0.0103 1.0311e-2 2.1259e-5 -1.0269e-2
80.00 0.0093 9.2784e-3 1.7091e-5 -9.2440e-3
81.00 0.0084 8.3502e-3 1.3746e-5 -8.3223e-3
82.00 0.0075 7.5159e-3 1.1061e-5 -7.4932e-3
83.00 0.0068 6.7658e-3 8.9039e-6 -6.7474e-3
84.00 0.0061 6.0914e-3 7.1706e-6 -6.0764e-3
85.00 0.0055 5.4848e-3 5.7771e-6 -5.4727e-3
86.00 0.0049 4.9393e-3 4.6563e-6 -4.9295e-3
87.00 0.0045 4.4486e-3 3.7544e-6 -4.4406e-3
88.00 0.0040 4.0071e-3 3.0284e-6 -4.0006e-3
89.00 0.0036 3.6099e-3 2.4437e-6 -3.6046e-3
90.00 0.0033 3.2525e-3 1.9727e-6 -3.2482e-3
91.00 0.0029 2.9307e-3 1.5930e-6 -2.9272e-3
92.00 0.0026 2.6411e-3 1.2868e-6 -2.6383e-3
93.00 0.0024 2.3804e-3 1.0399e-6 -2.3781e-3
94.00 0.0021 2.1457e-3 8.4060e-7 -2.1438e-3
95.00 0.0019 1.9343e-3 6.7974e-7 -1.9327e-3
96.00 0.0017 1.7439e-3 5.4985e-7 -1.7426e-3
97.00 0.0016 1.5724e-3 4.4491e-7 -1.5714e-3
98.00 0.0014 1.4180e-3 3.6012e-7 -1.4171e-3
99.00 0.0013 1.2788e-3 2.9157e-7 -1.2781e-3
