# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 4.1752 -7.2566e0 3.6417e-1 -9.8463e-1
26.00 3.4695 -6.2998e0 2.8785e0 -9.6887e-1
27.00 1.8663 -5.6298e0 3.6355e0 -8.4531e-1
28.00 0.9180 -5.6941e0 6.3542e0 -6.0067e-1
29.00 0.7127 -4.3100e0 5.2765e0 -5.0969e-1
30.00 0.4947 -3.2517e0 3.1990e0 -3.9025e-1
31.00 0.1605 -3.0147e0 3.3338e0 -1.4825e-1
32.00 -0.0333 -2.7892e0 3.7338e0 3.3813e-2
33.00 -0.1422 -2.6694e0 4.6647e0 1.5279e-1
34.00 -0.1555 -2.1135e0 3.0150e0 1.6821e-1
35.00 -0.1471 -1.7933e0 2.7519e0 1.5843e-1
36.00 -0.1523 -1.5925e0 2.8116e0 1.6448e-1
37.00 -0.1153 -1.2587e0 2.1928e0 1.2221e-1
38.00 -0.0923 -1.0396e0 2.0634e0 9.6731e-2
39.00 -0.0389 -7.5923e-1 1.6037e0 3.9676e-2
40.00 0.0224 -5.1460e-1 1.2375e0 -2.2113e-2
41.00 0.0800 -3.1246e-1 9.5295e-1 -7.6923e-2
42.00 0.1349 -1.3655e-1 6.6073e-1 -1.2618e-1
43.00 0.1677 -2.3973e-2 4.7606e-1 -1.5437e-1
44.00 0.1822 4.9654e-2 3.3213e-1 -1.6655e-1
45.00 0.1936 1.1444e-1 1.8499e-1 -1.7603e-1
46.00 0.1968 1.5008e-1 1.0419e-1 -1.7861e-1
47.00 0.1937 1.6809e-1 5.2611e-2 -1.7606e-1
48.00 0.1857 1.7205e-1 2.5459e-2 -1.6944e-1
49.00 0.1739 1.6600e-1 1.4070e-2 -1.5965e-1
50.00 0.1600 1.5479e-1 9.3222e-3 -1.4783e-1
51.00 0.1453 1.4152e-1 6.9036e-3 -1.3520e-1
52.00 0.1309 1.2802e-1 5.3987e-3 -1.2271e-1
53.00 0.1173 1.1502e-1 4.2929e-3 -1.1068e-1
54.00 0.1047 1.0290e-1 3.4244e-3 -9.9409e-2
55.00 0.0932 9.1820e-2 2.7146e-3 -8.9024e-2
56.00 0.0829 8.1787e-2 2.1427e-3 -7.9558e-2
57.00 0.0736 7.2768e-2 1.6850e-3 -7.0994e-2
58.00 0.0654 6.4695e-2 1.3213e-3 -6.3285e-2
59.00 0.0580 5.7490e-2 1.0339e-3 -5.6370e-2
60.00 0.0515 5.1072e-2 8.0794e-4 -5.0183e-2
61.00 0.0457 4.5364e-2 6.3076e-4 -4.4658e-2
62.00 0.0405 4.0291e-2 4.9219e-4 -3.9731e-2
63.00 0.0360 3.5786e-2 3.8401e-4 -3.5341e-2
64.00 0.0319 3.1785e-2 2.9962e-4 -3.1432e-2
65.00 0.0284 2.8233e-2 2.3384e-4 -2.7953e-2
66.00 0.0252 2.5080e-2 1.8256e-4 -2.4858e-2
67.00 0.0224 2.2282e-2 1.4259e-4 -2.2106e-2
68.00 0.0199 1.9798e-2 1.1143e-4 -1.9658e-2
69.00 0.0176 1.7593e-2 8.7113e-5 -1.7482e-2
70.00 0.0157 1.5635e-2 6.8141e-5 -1.5548e-2
71.00 0.0139 1.3898e-2 5.3328e-5 -1.3828e-2
72.00 0.0124 1.2354e-2 4.1757e-5 -1.2299e-2
73.00 0.0110 1.0984e-2 3.2713e-5 -1.0940e-2
74.00 0.0098 9.7673e-3 2.5642e-5 -9.7325e-3
75.00 0.0087 8.6864e-3 2.0109e-5 -8.6587e-3
76.00 0.0077 7.7262e-3 1.5778e-5 -7.7042e-3
77.00 0.0069 6.8731e-3 1.2386e-5 -6.8557e-3
78.00 0.0061 6.1150e-3 9.7285e-6 -6.1012e-3
79.00 0.0054 5.4413e-3 7.6447e-6 -5.4304e-3
80.00 0.0048 4.8425e-3 6.0102e-6 -4.8338e-3
81.00 0.0043 4.3102e-3 4.7273e-6 -4.3033e-3
82.00 0.0038 3.8369e-3 3.7200e-6 -3.8314e-3
83.00 0.0034 3.4161e-3 2.9287e-6 -3.4117e-3
84.00 0.0030 3.0418e-3 2.3067e-6 -3.0383e-3
85.00 0.0027 2.7089e-3 1.8176e-6 -2.7061e-3
86.00 0.0024 2.4127e-3 1.4328e-6 -2.4105e-3
87.00 0.0021 2.1491e-3 1.1299e-6 -2.1474e-3
88.00 0.0019 1.9146e-3 8.9145e-7 -1.9133e-3
89.00 0.0017 1.7059e-3 7.0358e-7 -1.7048e-3
90.00 0.0015 1.5202e-3 5.5552e-7 -1.5193e-3
91.00 0.0014 1.3548e-3 4.3878e-7 -1.3541e-3
92.00 0.0012 1.2075e-3 3.4670e-7 -1.2070e-3
93.00 0.0011 1.0764e-3 2.7404e-7 -1.0760e-3
94.00 0.0010 9.5962e-4 2.1669e-7 -9.5927e-4
95.00 0.0009 8.5560e-4 1.7139e-7 -8.5532e-4
96.00 0.0008 7.6295e-4 1.3561e-7 -7.6272e-4
97.00 0.0007 6.8039e-4 1.0734e-7 -6.8022e-4
98.00 0.0006 6.0684e-4 8.4984e-8 -6.0670e-4
99.00 0.0005 5.4129e-4 6.7307e-8 -5.4118e-4
