# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 6.0724 -5.4104e0 2.0633e0 -9.9769e-1
26.00 3.7874 -5.8862e0 4.4124e0 -9.7735e-1
27.00 2.7126 -4.9077e0 5.1643e0 -9.3363e-1
28.00 2.2239 -3.5248e0 4.1366e0 -8.9181e-1
29.00 1.8207 -2.8519e0 4.3490e0 -8.3809e-1
30.00 1.4049 -2.5644e0 4.3798e0 -7.5460e-1
31.00 1.1730 -2.1835e0 4.5929e0 -6.9055e-1
32.00 0.9833 -1.9010e0 4.3640e0 -6.2594e-1
33.00 0.8527 -1.6914e0 4.4505e0 -5.7373e-1
34.00 0.7832 -1.3551e0 3.8907e0 -5.4308e-1
35.00 0.7569 -1.0149e0 3.3191e0 -5.3090e-1
36.00 0.7352 -7.2190e-1 2.7562e0 -5.2057e-1
37.00 0.7219 -4.8951e-1 2.4507e0 -5.1416e-1
38.00 0.7301 -2.2916e-1 1.9893e0 -5.1814e-1
39.00 0.7439 2.2717e-3 1.6075e0 -5.2474e-1
40.00 0.7628 2.0399e-1 1.2588e0 -5.3365e-1
41.00 0.7821 3.6948e-1 9.6289e-1 -5.4256e-1
42.00 0.7897 4.8292e-1 7.4123e-1 -5.4601e-1
43.00 0.7863 5.6940e-1 5.1727e-1 -5.4445e-1
44.00 0.7689 6.1554e-1 3.6162e-1 -5.3648e-1
45.00 0.7420 6.3681e-1 2.3916e-1 -5.2382e-1
46.00 0.7105 6.4160e-1 1.4480e-1 -5.0860e-1
47.00 0.6758 6.3121e-1 8.5361e-2 -4.9123e-1
48.00 0.6374 6.0604e-1 5.6988e-2 -4.7133e-1
49.00 0.5968 5.7282e-1 4.3060e-2 -4.4942e-1
50.00 0.5555 5.3601e-1 3.5223e-2 -4.2622e-1
51.00 0.5152 4.9886e-1 2.9727e-2 -4.0264e-1
52.00 0.4767 4.6281e-1 2.5327e-2 -3.7915e-1
53.00 0.4403 4.2856e-1 2.1594e-2 -3.5615e-1
54.00 0.4063 3.9640e-1 1.8386e-2 -3.3391e-1
55.00 0.3748 3.6640e-1 1.5629e-2 -3.1256e-1
56.00 0.3456 3.3850e-1 1.3265e-2 -2.9218e-1
57.00 0.3186 3.1265e-1 1.1245e-2 -2.7284e-1
58.00 0.2937 2.8871e-1 9.5233e-3 -2.5452e-1
59.00 0.2708 2.6658e-1 8.0601e-3 -2.3724e-1
60.00 0.2497 2.4613e-1 6.8187e-3 -2.2096e-1
61.00 0.2303 2.2725e-1 5.7668e-3 -2.0567e-1
62.00 0.2124 2.0983e-1 4.8765e-3 -1.9132e-1
63.00 0.1959 1.9374e-1 4.1235e-3 -1.7788e-1
64.00 0.1807 1.7890e-1 3.4871e-3 -1.6531e-1
65.00 0.1667 1.6521e-1 2.9492e-3 -1.5356e-1
66.00 0.1539 1.5257e-1 2.4948e-3 -1.4260e-1
67.00 0.1420 1.4092e-1 2.1109e-3 -1.3238e-1
68.00 0.1311 1.3016e-1 1.7865e-3 -1.2285e-1
69.00 0.1210 1.2024e-1 1.5124e-3 -1.1398e-1
70.00 0.1117 1.1109e-1 1.2807e-3 -1.0572e-1
71.00 0.1032 1.0264e-1 1.0849e-3 -9.8048e-2
72.00 0.0953 9.4850e-2 9.1930e-4 -9.0914e-2
73.00 0.0881 8.7658e-2 7.7925e-4 -8.4288e-2
74.00 0.0814 8.1021e-2 6.6078e-4 -7.8134e-2
75.00 0.0752 7.4896e-2 5.6051e-4 -7.2422e-2
76.00 0.0695 6.9241e-2 4.7563e-4 -6.7122e-2
77.00 0.0642 6.4021e-2 4.0376e-4 -6.2206e-2
78.00 0.0594 5.9202e-2 3.4287e-4 -5.7646e-2
79.00 0.0549 5.4752e-2 2.9127e-4 -5.3419e-2
80.00 0.0508 5.0642e-2 2.4752e-4 -4.9500e-2
81.00 0.0470 4.6847e-2 2.1043e-4 -4.5867e-2
82.00 0.0434 4.3341e-2 1.7896e-4 -4.2501e-2
83.00 0.0402 4.0102e-2 1.5225e-4 -3.9382e-2
84.00 0.0372 3.7110e-2 1.2957e-4 -3.6492e-2
85.00 0.0344 3.4344e-2 1.1031e-4 -3.3815e-2
86.00 0.0318 3.1789e-2 9.3944e-5 -3.1335e-2
87.00 0.0295 2.9427e-2 8.0036e-5 -2.9037e-2
88.00 0.0273 2.7244e-2 6.8209e-5 -2.6909e-2
89.00 0.0253 2.5225e-2 5.8150e-5 -2.4938e-2
90.00 0.0234 2.3358e-2 4.9591e-5 -2.3112e-2
91.00 0.0217 2.1632e-2 4.2305e-5 -2.1421e-2
92.00 0.0201 2.0036e-2 3.6101e-5 -1.9854e-2
93.00 0.0186 1.8560e-2 3.0817e-5 -1.8404e-2
94.00 0.0172 1.7194e-2 2.6314e-5 -1.7060e-2
95.00 0.0159 1.5930e-2 2.2477e-5 -1.5815e-2
96.00 0.0148 1.4760e-2 1.9204e-5 -1.4661e-2
97.00 0.0137 1.3678e-2 1.6413e-5 -1.3593e-2
98.00 0.0127 1.2677e-2 1.4032e-5 -1.2603e-2
99.00 0.0118 1.1749e-2 1.1999e-5 -1.1687e-2
