# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
25.00 11.3521 -2.8726e-1 2.4146e0 -9.9999e-1
26.00 8.7240 -1.0332e0 4.3491e0 -9.9984e-1
27.00 7.4750 -2.2738e-1 5.1247e0 -9.9943e-1
28.00 6.8883 1.0578e0 4.1719e0 -9.9898e-1
29.00 6.3604 1.5793e0 4.4017e0 -9.9827e-1
30.00 5.8020 1.6588e0 4.6438e0 -9.9698e-1
31.00 5.4741 2.0085e0 4.4299e0 -9.9581e-1
32.00 5.1490 2.0336e0 4.9777e0 -9.9419e-1
33.00 4.8961 2.1121e0 5.0156e0 -9.9252e-1
34.00 4.7065 2.3532e0 4.2029e0 -9.9096e-1
35.00 4.5533 2.5591e0 3.5737e0 -9.8947e-1
36.00 4.4077 2.7130e0 3.0859e0 -9.8782e-1
37.00 4.2849 2.8393e0 2.7919e0 -9.8623e-1
38.00 4.1935 3.0091e0 2.3381e0 -9.8491e-1
39.00 4.1094 3.1449e0 2.0064e0 -9.8358e-1
40.00 4.0329 3.2554e0 1.6946e0 -9.8228e-1
41.00 3.9598 3.3354e0 1.4134e0 -9.8093e-1
42.00 3.8785 3.3744e0 1.1636e0 -9.7932e-1
43.00 3.7880 3.3897e0 9.0617e-1 -9.7736e-1
44.00 3.6863 3.3707e0 6.9602e-1 -9.7494e-1
45.00 3.5767 3.3281e0 5.1877e-1 -9.7203e-1
46.00 3.4642 3.2694e0 3.7319e-1 -9.6870e-1
47.00 3.3497 3.1937e0 2.7665e-1 -9.6490e-1
48.00 3.2319 3.0994e0 2.2751e-1 -9.6052e-1
49.00 3.1126 2.9954e0 2.0022e-1 -9.5551e-1
50.00 2.9942 2.8884e0 1.8144e-1 -9.4992e-1
51.00 2.8785 2.7822e0 1.6609e-1 -9.4378e-1
52.00 2.7664 2.6786e0 1.5256e-1 -9.3711e-1
53.00 2.6584 2.5783e0 1.4029e-1 -9.2994e-1
54.00 2.5548 2.4815e0 1.2906e-1 -9.2229e-1
55.00 2.4554 2.3885e0 1.1874e-1 -9.1417e-1
56.00 2.3602 2.2991e0 1.0925e-1 -9.0560e-1
57.00 2.2691 2.2132e0 1.0051e-1 -8.9659e-1
58.00 2.1819 2.1308e0 9.2474e-2 -8.8717e-1
59.00 2.0984 2.0517e0 8.5079e-2 -8.7735e-1
60.00 2.0186 1.9758e0 7.8279e-2 -8.6715e-1
61.00 1.9421 1.9030e0 7.2028e-2 -8.5660e-1
62.00 1.8689 1.8331e0 6.6284e-2 -8.4571e-1
63.00 1.7988 1.7660e0 6.1007e-2 -8.3450e-1
64.00 1.7317 1.7015e0 5.6160e-2 -8.2301e-1
65.00 1.6673 1.6397e0 5.1708e-2 -8.1125e-1
66.00 1.6057 1.5803e0 4.7619e-2 -7.9925e-1
67.00 1.5466 1.5233e0 4.3864e-2 -7.8702e-1
68.00 1.4899 1.4685e0 4.0416e-2 -7.7461e-1
69.00 1.4356 1.4159e0 3.7248e-2 -7.6202e-1
70.00 1.3834 1.3654e0 3.4338e-2 -7.4928e-1
71.00 1.3334 1.3168e0 3.1664e-2 -7.3642e-1
72.00 1.2854 1.2701e0 2.9207e-2 -7.2346e-1
73.00 1.2393 1.2253e0 2.6949e-2 -7.1042e-1
74.00 1.1951 1.1821e0 2.4873e-2 -6.9732e-1
75.00 1.1526 1.1407e0 2.2964e-2 -6.8419e-1
76.00 1.1118 1.1008e0 2.1208e-2 -6.7103e-1
77.00 1.0726 1.0625e0 1.9593e-2 -6.5788e-1
78.00 1.0349 1.0256e0 1.8106e-2 -6.4474e-1
79.00 0.9987 9.9007e-1 1.6737e-2 -6.3164e-1
80.00 0.9639 9.5593e-1 1.5477e-2 -6.1860e-1
81.00 0.9304 9.2306e-1 1.4316e-2 -6.0562e-1
82.00 0.8982 8.9144e-1 1.3247e-2 -5.9271e-1
83.00 0.8673 8.6099e-1 1.2261e-2 -5.7991e-1
84.00 0.8375 8.3168e-1 1.1353e-2 -5.6721e-1
85.00 0.8088 8.0345e-1 1.0514e-2 -5.5462e-1
86.00 0.7812 7.7627e-1 9.7412e-3 -5.4216e-1
87.00 0.7547 7.5008e-1 9.0277e-3 -5.2984e-1
88.00 0.7291 7.2486e-1 8.3689e-3 -5.1767e-1
89.00 0.7045 7.0056e-1 7.7606e-3 -5.0565e-1
90.00 0.6808 6.7714e-1 7.1986e-3 -4.9379e-1
91.00 0.6580 6.5457e-1 6.6794e-3 -4.8210e-1
92.00 0.6360 6.3282e-1 6.1994e-3 -4.7058e-1
93.00 0.6148 6.1185e-1 5.7555e-3 -4.5924e-1
94.00 0.5943 5.9163e-1 5.3450e-3 -4.4808e-1
95.00 0.5747 5.7214e-1 4.9652e-3 -4.3710e-1
96.00 0.5557 5.5334e-1 4.6136e-3 -4.2632e-1
97.00 0.5374 5.3520e-1 4.2881e-3 -4.1572e-1
98.00 0.5197 5.1771e-1 3.9867e-3 -4.0532e-1
99.00 0.5027 5.0084e-1 3.7074e-3 -3.9511e-1
